Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30500,-0.53537995,13.5,499.64294,-48.262325,3288.18896484375,3288.18896484375,0.0,1.0
31000,-0.6731187,16.0,238.03711,-56.552086,1618.3987374141298,1618.3987374141298,0.0,1.0
31500,-0.3939478,15.35483870967742,146.72678,-62.944878,1577.9648998629661,1577.9648998629661,6.34371950164918,1.0
32000,-0.35981786,14.0,357.41962,-65.89298,1717.7059982762191,1717.7059982762191,5.955422253319711,1.0
32500,-0.4160393,16.379310344827587,211.21745,-67.92763,920.3533788220636,920.3533788220636,6.587993687596814,1.0
33000,-0.6014269,13.852941176470589,370.1914,-65.04981,1680.1506015553193,1680.1506015553193,5.516071121482288,1.0
33500,-0.60971105,13.787878787878787,289.03067,-68.98749,1733.0317854447799,1733.0317854447799,5.252813646287629,1.0
34000,-0.46514633,15.516129032258064,303.70905,-72.389305,1539.6311409242692,1539.6311409242692,5.868632916481264,1.0
34500,-0.54060274,16.379310344827587,521.2539,-71.51271,1482.0524755017511,1482.0524755017511,5.1545249347029065,1.0
35000,-0.39157477,15.333333333333334,421.32657,-75.07153,2045.0884755452473,2045.0884755452473,5.796715907255808,1.0
35500,-0.5213339,16.24137931034483,395.9297,-77.6194,1568.358728343043,1568.358728343043,5.12370934157536,1.0
36000,-0.2732597,17.74074074074074,241.45995,-81.35122,1182.5079125298394,1182.5079125298394,6.2645944798434225,1.0
36500,-0.33624676,14.212121212121213,489.38214,-78.54625,1666.6167010683002,1666.6167010683002,4.897003961331917,1.0
37000,-0.3250156,14.870967741935484,349.24048,-79.44642,1349.0395084504157,1349.0395084504157,4.309457212686539,1.0
37500,-0.5125392,14.875,458.97763,-82.956085,2033.1118521690369,2033.1118521690369,4.30233158916235,1.0
38000,-0.3752159,15.064516129032258,404.18588,-82.80918,1473.0181845388104,1473.0181845388104,4.667143089155997,1.0
38500,-0.27528143,15.2,416.6589,-88.163086,1633.8047678629557,1633.8047678629557,4.82368234594663,1.0
39000,-0.4264091,13.457142857142857,876.56335,-82.82092,2518.763410295759,2518.763410295759,3.9632527453558786,1.0
39500,-0.14729033,15.566666666666666,340.7167,-91.53039,1460.679308573405,1460.679308573405,4.638368332386017,1.0
40000,-0.2921874,15.833333333333334,504.14105,-92.51968,1742.1872416178385,1742.1872416178385,5.468618683020273,1.0
40500,-0.32339907,15.064516129032258,570.26135,-93.77905,1756.9246294575353,1756.9246294575353,5.011887630147319,1.0
41000,-0.39960742,14.151515151515152,827.6133,-92.491585,1911.3392740885417,1911.3392740885417,3.9335537318027383,1.0
41500,-0.26027483,15.533333333333333,565.108,-92.72996,1530.4101114908854,1530.4101114908854,3.8833909749984743,1.0
42000,-0.4760395,13.911764705882353,736.0397,-96.99316,1722.074119567871,1722.074119567871,3.7324925029979035,1.0
42500,-0.35356775,15.666666666666666,505.09073,-95.565834,1548.284201558431,1548.284201558431,3.510321718454361,1.0
43000,-0.5009511,15.833333333333334,761.7742,-95.97429,1890.7923431396484,1890.7923431396484,4.115177023410797,1.0
43500,-0.48863974,12.88888888888889,797.5476,-100.80251,2021.3921610514324,2021.3921610514324,3.5134499867757163,1.0
44000,-0.48576683,16.20689655172414,694.666,-101.354996,1599.8063080886316,1599.8063080886316,4.436150799537527,1.0
44500,-0.52740675,12.35135135135135,1001.6907,-103.16764,2099.8928717535896,2099.8928717535896,3.7164971445863313,1.0
45000,-0.41350096,14.030303030303031,702.95667,-103.84,2011.8102796149976,2011.8102796149976,3.986186039267164,1.0
45500,-0.4638529,14.6875,1086.6055,-109.94855,2130.468801498413,2130.468801498413,3.767765834927559,1.0
46000,-0.3955516,13.142857142857142,917.64795,-105.459854,2116.921334838867,2116.921334838867,3.546096680845533,1.0
46500,-0.37496653,14.205882352941176,901.28217,-109.40744,1984.9773030000574,1984.9773030000574,3.726017243721906,1.0
47000,-0.37373108,13.342857142857143,1020.73615,-110.057274,2344.5263349260604,2344.5263349260604,3.6039972952433996,1.0
47500,-0.2865381,15.666666666666666,525.0688,-114.28301,1398.5217681884765,1398.5217681884765,3.5458452900250754,1.0
48000,-0.4233352,14.709677419354838,996.7772,-116.61918,2253.6492703345516,2253.6492703345516,3.1483711653178736,1.0
48500,-0.3366074,16.066666666666666,894.3774,-116.984245,1669.29341990153,1669.29341990153,3.3813918550809223,1.0
49000,-0.3391957,15.862068965517242,1207.2283,-119.200066,1989.1534644817484,1989.1534644817484,4.446039080619812,1.0
49500,-0.3924553,16.103448275862068,843.3063,-120.98742,1312.9214730098329,1312.9214730098329,3.213874031757486,1.0
50000,-0.36486572,15.0,1009.0731,-121.16095,1943.7177648544312,1943.7177648544312,3.4110459871590137,1.0
50500,-0.37666434,14.741935483870968,1021.2524,-119.64865,1713.7848279399257,1713.7848279399257,3.7317624592011973,1.0
51000,-0.41316494,13.257142857142858,1294.0027,-121.81979,2373.920402308873,2373.920402308873,2.97125255380358,1.0
51500,-0.30316082,14.393939393939394,893.7995,-127.06781,1618.6303553725734,1618.6303553725734,3.724053639354128,1.0
52000,-0.36254776,13.647058823529411,1144.7906,-122.740524,2296.813860724954,2296.813860724954,3.3453469925067005,1.0
52500,-0.3550828,12.702702702702704,1246.0544,-125.59811,2251.6701247756546,2251.6701247756546,3.730228537240544,1.0
53000,-0.38610652,13.5,1452.9648,-129.52576,2517.4070053100586,2517.4070053100586,3.4841760747572956,1.0
53500,-0.3594839,15.35483870967742,1214.1796,-134.78658,1894.412631619361,1894.412631619361,3.961186981970264,1.0
54000,-0.4278391,14.96774193548387,1445.0116,-130.6002,2091.315326567619,2091.315326567619,3.976649526626833,1.0
54500,-0.35801172,13.428571428571429,1437.6633,-131.37445,2195.0073835100447,2195.0073835100447,3.2223619124719076,1.0
55000,-0.33133388,14.212121212121213,1394.8135,-138.41177,1863.9219573049834,1863.9219573049834,3.1488375916625513,1.0
55500,-0.3025183,12.513513513513514,1368.4515,-137.00449,2440.2116022883233,2440.2116022883233,3.4535404814256205,1.0
56000,-0.34440756,15.129032258064516,1503.3429,-140.59854,2463.0634524437687,2463.0634524437687,4.039953768253326,1.0
56500,-0.33243015,13.666666666666666,1562.5702,-142.49484,2246.9398433800898,2246.9398433800898,3.612334511496804,1.0
57000,-0.21275127,13.657142857142857,1462.967,-143.6985,2235.666161237444,2235.666161237444,3.530346979413714,1.0
57500,-0.22527528,14.0,1572.2104,-146.07863,2805.088497277462,2805.088497277462,3.319865425427755,1.0
58000,-0.30715355,14.030303030303031,1650.3287,-149.56386,2445.5685424804688,2445.5685424804688,3.3391756144436924,1.0
58500,-0.3231948,14.96774193548387,1474.1812,-151.7087,1933.2840940413937,1933.2840940413937,2.9892061948776245,1.0
59000,-0.21129236,14.058823529411764,1599.106,-153.78493,2310.4534167121437,2310.4534167121437,3.4869756628485287,1.0
59500,-0.19467303,17.22222222222222,1407.086,-160.57686,1627.9745099103009,1627.9745099103009,3.5443454649713306,1.0
