Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
500,1.397742,17.74074074074074,-0.79829764,-3407.162189190204,-3066.445867098295,3691475.2,0.27923486,0.0029920898,0.10000002,0.000498708,1.0
1000,1.419128,17.48148148148148,-51.34524,-3760.2685185185187,-3384.241681134259,4411690.5,0.38926262,0.0029780478,0.10000002,0.0004964144,1.0
1500,1.6540879,17.62962962962963,-186.22107,-4102.9861744068285,-3692.6875361689813,5052096.5,0.3872025,0.002961727,0.10000002,0.0004937488,1.0
2000,2.8781269,17.51851851851852,-470.75372,-3656.158221209491,-3290.5423719618057,4661217.5,0.38195333,0.002946158,0.10000002,0.0004912058,1.0
2500,3.418938,17.48148148148148,-563.99066,-3608.8119484230324,-3247.930749963831,4430050.0,0.39183846,0.0029325597,0.10000002,0.0004889848,1.0
3000,3.418938,17.59259259259259,-606.24286,-4024.992517541956,-3622.4932454427085,4683850.0,0.38266578,0.0029185577,0.10000002,0.00048669765,1.0
3500,3.418938,17.59259259259259,-633.7664,-3938.437798394097,-3544.594012225116,4982201.0,0.38900256,0.0029027555,0.10000002,0.00048411667,1.0
4000,3.418938,17.62962962962963,-665.0603,-3803.5337004484954,-3423.1803385416665,4415464.5,0.3804764,0.0028871621,0.10000002,0.00048156988,1.0
4500,3.4189382,17.73076923076923,-698.5027,-4110.13471867488,-3699.1211970402646,5058536.5,0.38682818,0.0028714198,0.10000002,0.00047899858,1.0
5000,3.418938,17.51851851851852,-732.6922,-3760.097068504051,-3384.0873390480324,4798026.5,0.37786242,0.0028577305,0.10000002,0.00047676254,1.0
5500,3.418938,17.59259259259259,-767.32684,-3479.079029224537,-3131.1710657190392,4467541.0,0.37612736,0.0028441122,0.10000002,0.0004745384,1.0
6000,3.4189382,17.77777777777778,-807.2183,-3871.355414496528,-3484.2198486328125,642874500.0,0.38725102,0.0028284523,0.10000002,0.00047198057,1.0
6500,3.418938,17.555555555555557,-848.12213,-3840.6277872721353,-3456.564959490741,4638829.0,0.38878307,0.002812733,0.10000002,0.00046941295,1.0
7000,3.418938,17.62962962962963,-898.293,-4033.6635866518372,-3630.2971722638167,4829748.5,0.39260197,0.0027971175,0.10000002,0.00046686255,1.0
7500,3.4189382,17.666666666666668,-936.17554,-3658.8435420283563,-3292.959187825521,4668761.0,0.38527983,0.0027814645,0.10000002,0.00046430592,1.0
8000,3.4189382,17.73076923076923,-955.8815,-4011.7975722092847,-3610.6177696814902,5118342.5,0.38056067,0.0027677305,0.10000002,0.00046206254,1.0
8500,3.418938,17.59259259259259,-994.8899,-3915.998630099826,-3524.3987268518517,4887214.5,0.38808274,0.002753978,0.10000002,0.0004598163,1.0
9000,3.4189382,17.77777777777778,-1033.845,-3972.0805980541086,-3574.8724817346642,4719207.0,0.38479388,0.0027382877,0.10000002,0.0004572537,1.0
9500,3.4189382,17.666666666666668,-1093.2765,-3849.019001148365,-3464.117081253617,4736106.5,0.39240083,0.0027225749,0.10000002,0.00045468725,1.0
10000,3.418938,17.615384615384617,-1193.8945,-3538.50534761869,-3184.6548696664663,4177601.2,0.37657753,0.0027069,0.10000002,0.00045212693,1.0
10500,3.418938,17.51851851851852,-1248.0441,-3570.590892650463,-3213.5317292390046,4458067.0,0.38239703,0.0026913227,0.10000002,0.00044958267,1.0
11000,3.418938,17.555555555555557,-1293.6698,-3621.6740993923613,-3259.5066686559608,4588251.5,0.38528386,0.0026776996,0.10000002,0.00044735763,1.0
11500,3.418938,17.62962962962963,-1331.9357,-3723.9431107132523,-3351.5487467447915,4177241.0,0.3744081,0.0026640827,0.10000002,0.00044513348,1.0
12000,3.418938,17.555555555555557,-1388.0864,-3756.408257378472,-3380.7673611111113,4299961.5,0.3838566,0.002648415,0.10000002,0.00044257444,1.0
12500,3.4189382,17.142857142857142,-1433.0736,-3647.1329471043177,-3282.419588650976,4826990.0,0.38858244,0.0026324329,0.10000002,0.000439964,1.0
13000,3.418938,17.11111111111111,-1475.8304,-3570.7575638382523,-3213.6818237304688,4757595.5,0.36563218,0.0026163824,0.10000002,0.00043734245,1.0
