Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
500,1.4247231,24.45,-1.4412621,3976.04736328125,3578.441839920847,281126430.0,0.26243314,0.00299081,0.10000002,0.0004984989,1.0
1000,1.4508194,23.9,-4.9837265,-2191.5769104003907,-1972.4191436767578,4057192.2,0.32681015,0.0029773097,0.10000002,0.00049629406,1.0
1500,1.5767982,23.9,-11.615389,2181.3642333984376,1963.2276611328125,15798461.0,0.25889266,0.0029637998,0.10000002,0.00049408735,1.0
2000,2.3091826,23.61904761904762,-6.365981,10399.095363071987,9359.185849144345,129766050.0,0.19446649,0.0029482052,0.10000002,0.0004915402,1.0
2500,3.3893554,23.5,-1.8284509,6546.497229003906,5891.848159790039,987797300.0,0.3531479,0.00293273,0.10000002,0.00048901263,1.0
3000,3.418938,22.857142857142858,-1.8448296,10143.91200764974,9129.52055140904,323138270.0,0.3242899,0.0029171105,0.10000002,0.00048646124,1.0
3500,3.418938,24.1,-2.1367812,-110.33991394042968,-99.30593566894531,39759972.0,0.31935373,0.00290138,0.10000002,0.00048389207,1.0
4000,3.418938,23.8,-2.133044,7674.077917480468,6906.670642089844,522352900.0,0.34668753,0.0028878401,0.10000002,0.0004816805,1.0
4500,3.418938,24.1,-2.1631465,17881.397412109374,16093.257604980468,150659180.0,0.3059702,0.0028723874,0.10000002,0.00047915662,1.0
5000,3.4189382,23.095238095238095,-2.2921727,341.7833310081845,307.6049339657738,721757900.0,0.1834387,0.0028570304,0.10000002,0.00047664825,1.0
5500,3.418938,24.0,-2.2929955,2943.3727905273436,2649.0349670410155,58730320.0,0.22746305,0.0028433998,0.10000002,0.00047442198,1.0
6000,3.418938,23.95,-2.5602026,-2137.3109924316404,-1923.5798706054688,4299793.0,0.33863035,0.0028276802,0.10000002,0.00047185438,1.0
6500,3.418938,23.95,-3.1427987,-2754.239910888672,-2478.8158447265623,2746221.8,0.38679293,0.0028119904,0.10000002,0.00046929167,1.0
