Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
500,1.4316528,22.818181818181817,-0.5482367,-2870.28231375558,-2583.25392078218,4821444.5,0.2631041,0.0029915804,0.10000002,0.0004986247,1.0
1000,1.4625567,24.05263157894737,-49.891747,-3714.8595613178454,-3343.373480545847,4532141.5,0.37127766,0.00297827,0.10000002,0.0004964507,1.0
1500,1.603627,24.0,-566.6038,-3925.8264770507812,-3533.243783569336,4242133.0,0.36662906,0.0029624775,0.10000002,0.0004938714,1.0
2000,2.3437417,24.0,-1075.1599,-3804.197686767578,-3423.7777709960938,2479911.2,0.3595895,0.00294675,0.10000002,0.0004913025,1.0
2500,3.3793259,23.047619047619047,-1659.8367,-3338.9495675223216,-3005.0545160202755,2263382.8,0.351629,0.0029332598,0.10000002,0.0004890991,1.0
3000,3.4189382,22.5,-2132.978,-3515.278331409801,-3163.750421697443,5013485.0,0.3076084,0.0029184902,0.10000002,0.00048668674,1.0
3500,3.418938,23.15,-6875.0166,-3468.109442138672,-3121.298419189453,92490310.0,0.34456834,0.0029036698,0.10000002,0.0004842661,1.0
4000,3.4189382,24.2,-9406.721,-4637.377258300781,-4173.639416503906,6274723.0,0.37334916,0.0028880548,0.10000002,0.0004817157,1.0
4500,3.4189382,24.8,-11984.414,-4523.664465332031,-4071.2977661132813,6202522.5,0.37600496,0.0028723895,0.10000002,0.000479157,1.0
5000,3.418938,22.095238095238095,-14264.659,-3126.3644263857886,-2813.7279183523997,12487416.0,0.30182505,0.0028581973,0.10000002,0.0004768389,1.0
5500,3.4189382,22.363636363636363,-14845.934,-3110.989560213956,-2799.8905223499646,10752734.0,0.26268795,0.002841728,0.10000002,0.0004741489,1.0
6000,3.418938,23.0,-15675.508,-2784.4041229248046,-2505.96356048584,7946686.0,0.31220934,0.0028262006,0.10000002,0.00047161264,1.0
6500,3.4189382,20.91304347826087,-16603.11,-3232.7561353600545,-2909.4804846722145,6786213.5,0.31936902,0.0028131704,0.10000002,0.00046948437,1.0
7000,3.418938,23.65,-17350.16,-3861.442974853516,-3475.2985656738283,9680191.0,0.33275187,0.0027981,0.10000002,0.000467023,1.0
7500,3.4189377,23.761904761904763,-18971.74,-4331.637218656994,-3898.4732898530506,5930178.5,0.37000036,0.0027825104,0.10000002,0.00046447656,1.0
8000,3.418938,23.7,-21981.014,-3820.1294128417967,-3438.1163818359373,4781339.0,0.3722016,0.0027669373,0.10000002,0.0004619331,1.0
8500,3.418938,22.904761904761905,-23107.984,-2782.4937446230933,-2504.244347708566,16622335.0,0.3097911,0.0027518999,0.10000002,0.00045947699,1.0
9000,3.418938,22.80952380952381,-23476.215,-3963.9398018973216,-3567.545700799851,13507570.0,0.3299358,0.0027365999,0.10000002,0.000456978,1.0
9500,3.4189382,21.136363636363637,-24441.674,-2807.8622492009945,-2527.0759305087004,9557499.0,0.3151071,0.0027212696,0.10000002,0.0004544741,1.0
