Steps,Policy/Entropy,Environment/Lesson/heightMultiplier,Environment/Lesson/noiseEstimatorVariable,Environment/Lesson/noiseScale,Environment/Lesson/noiseOctaves,Environment/Lesson/noisePersistence,Environment/Lesson/noiseLacunarity,Environment/Lesson/noiseSeed,Environment/Lesson/waterLevel,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
100,1.4187213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0015062876,-0.0009157689,-5640.4970703125,-5640.4970703125,0.0,7346.782,-0.66266465,3662.2827,3662.229,0.999925,0.0003,776515.4,58287.793,1.0
200,1.4172193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.03679509,0.033828203,-7612.936767578125,-7612.936767578125,50.0,11013.595,-0.6439114,5496.044,5495.329,0.99892074,0.0003,546090.2,15482.773,1.0
300,1.4152803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.23591739,0.24484581,-8557.46630859375,-8557.46630859375,50.0,16289.662,-0.5543294,8135.3486,8133.8945,0.9974233,0.0003,280083.38,3295.905,1.0
400,1.4117349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.74492985,0.9193617,-11791.64111328125,-11791.64111328125,50.0,21338.074,-0.2794835,10654.418,10664.427,0.9959283,0.0003,163695.61,1678.7129,1.0
500,1.4051671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.2960799,1.7190211,-7557.5810546875,-7557.5810546875,50.0,18549.432,1.0170494,9235.595,9278.7,0.99443567,0.0003,96770.55,946.162,1.0
600,1.364678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.8150668,3.081533,-7606.484375,-7606.484375,50.0,15004.869,5.470963,7271.979,7427.8174,0.9929451,0.0003,66554.95,923.57196,1.0
700,1.2928566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0314504,5.5895767,-11928.66015625,-11928.66015625,50.0,17397.223,19.213589,7325.2188,8413.902,0.9914565,0.0003,66901.54,733.06287,1.0
800,0.7181103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-3.5930045,7.618228,-8486.706298828125,-8486.706298828125,50.0,15071.83,51.846607,3868.5215,5089.0034,0.98997056,0.0003,47663.367,482.88272,1.0
900,-0.65863645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-26.066214,22.17388,-9992.51708984375,-9992.51708984375,50.0,13593.258,75.15831,2766.2473,3237.2688,0.9884993,0.0003,28608.984,480.02496,1.0
1000,0.33206654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-104.38873,55.68041,-11776.0791015625,-11776.0791015625,50.0,7418.711,80.566795,1981.8782,1696.8538,0.9870793,0.0003,24587.383,327.45673,1.0
