Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
100,1.4189714,0.0,9.0,0.0006328544,0.00021082743,2075.0,2075.0,0.0,1.0
200,1.4189463,0.0,9.0,0.00055091886,-0.00010630089,2054.5,2054.5,0.0,1.0
300,1.418197,0.0,9.0,0.010537064,0.013263349,2014.0,2014.0,6.0,1.0
400,1.4144058,0.0,9.0,0.086855985,0.106738225,2086.0,2086.0,10.0,1.0
500,1.4009044,0.0,9.0,0.44033423,0.56745493,2009.5,2009.5,10.0,1.0
600,1.3369633,0.0,9.0,2.2629325,3.146871,2077.0,2077.0,10.0,1.0
700,1.2506158,0.0,9.0,9.561054,10.371648,2090.5,2090.5,10.0,1.0
800,1.1026776,0.0,9.0,26.39497,15.4552765,1892.5,1892.5,10.0,1.0
900,0.28422952,0.0,9.0,110.640724,37.88154,781.0,781.0,10.0,1.0
1000,0.17824636,0.0,9.0,225.45296,38.25928,286.0,286.0,10.0,1.0
1100,1.445978,0.0,9.0,127.51707,-5.018556,448.0,448.0,10.0,1.0
1200,1.6039897,0.0,9.0,53.886524,-13.054949,1082.5,1082.5,10.0,1.0
1300,1.5800831,0.0,9.0,55.639748,-17.61312,1253.5,1253.5,10.0,1.0
1400,1.5686821,0.0,9.0,73.53319,-21.633694,1294.0,1294.0,10.0,1.0
1500,1.5681154,0.0,9.0,114.62532,-26.100231,1172.5,1172.5,10.0,1.0
1600,1.5199742,0.0,9.0,141.88004,-19.974348,1199.5,1199.5,10.0,1.0
1700,1.4737048,0.0,9.0,164.45493,-6.747631,1433.5,1433.5,10.0,1.0
1800,1.4297441,0.0,9.0,193.56288,-0.08033927,1051.0,1051.0,10.0,1.0
1900,1.4227474,0.0,9.0,155.85216,-9.420251,1442.5,1442.5,10.0,1.0
2000,1.3756845,0.0,9.0,198.30405,-10.615444,1798.0,1798.0,10.0,1.0
2100,1.2757039,0.0,9.0,203.76524,-9.037851,1658.5,1658.5,10.0,1.0
2200,1.1542866,0.0,9.0,190.87381,-7.950515,1316.5,1316.5,10.0,1.0
2300,1.0516515,0.0,9.0,209.53044,-13.84241,1055.5,1055.5,10.0,1.0
2400,1.0061467,0.0,9.0,169.23953,-15.475841,1456.0,1456.0,10.0,1.0
2500,1.0015465,0.0,9.0,174.3651,-10.874258,1339.0,1339.0,10.0,1.0
2600,1.0406028,0.0,9.0,172.97641,-5.3673472,1510.0,1510.0,10.0,1.0
2700,1.1065931,0.0,9.0,140.211,-3.5728602,1739.5,1739.5,10.0,1.0
2800,1.1145707,0.0,9.0,179.63588,-1.8638356,1645.0,1645.0,10.0,1.0
2900,1.0929439,0.0,9.0,153.69003,-3.2788455,1982.5,1982.5,10.0,1.0
3000,1.0512484,0.0,9.0,151.85114,-5.0346327,1613.5,1613.5,10.0,1.0
3100,0.9619893,0.0,9.0,188.77177,-6.6249413,1622.5,1622.5,10.0,1.0
3200,0.9524509,0.0,9.0,158.65244,-6.401858,1523.5,1523.5,10.0,1.0
3300,0.9004034,0.0,9.0,162.82707,-7.092758,1609.0,1609.0,10.0,1.0
3400,0.8519285,0.0,9.0,182.03706,-7.738364,1532.5,1532.5,10.0,1.0
3500,0.8848114,0.0,9.0,173.5872,-6.1006894,1339.0,1339.0,10.0,1.0
3600,0.8855635,0.0,9.0,159.56665,-2.5160623,1424.5,1424.5,10.0,1.0
3700,0.82066095,0.0,9.0,175.06332,-2.1877923,1096.0,1096.0,10.0,1.0
