Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
18400,-0.35542297,1.0,4.0,640.1699,-329.49295,-317.50990295410156,-317.50990295410156,0.0,1.0
18500,-0.5285805,1.0,4.0,488.81943,-307.18842,-293.441349029541,-293.441349029541,0.0,1.0
18600,-0.49121875,1.0,4.0,455.95987,-298.59497,-277.45831604003905,-277.45831604003905,0.07213857416063547,1.0
18700,-0.43138766,1.0,4.0,510.09442,-329.71198,-321.15674591064453,-321.15674591064453,0.27948446217924355,1.0
18800,-0.35667098,1.0,4.0,480.8067,-327.06525,-331.48345642089845,-331.48345642089845,0.24263656567782163,1.0
18900,-0.5180454,1.0,4.0,439.15326,-326.68848,-303.0082077026367,-303.0082077026367,0.3164043016731739,1.0
19000,-0.41066235,1.0,4.0,515.83984,-338.85046,-306.6403465270996,-306.6403465270996,0.22491162307560444,1.0
19100,-0.3925731,1.0,4.0,518.10425,-344.73526,-343.602311706543,-343.602311706543,0.19056223127990962,1.0
19200,-0.4952552,1.0,4.0,445.9803,-325.3718,-301.17332611083987,-301.17332611083987,0.14840700179338456,1.0
19300,-0.4455493,1.0,4.0,527.2244,-354.60693,-346.58666763305666,-346.58666763305666,0.30041608158499,1.0
19400,-0.65354556,1.0,4.0,422.28668,-319.9291,-293.7786125183105,-293.7786125183105,0.20685414634644986,1.0
19500,-0.61998266,1.0,4.0,395.60852,-325.1513,-296.5698211669922,-296.5698211669922,0.14211756326258182,1.0
19600,-0.47807965,1.0,4.0,518.4384,-346.8781,-315.5416801452637,-315.5416801452637,0.1534373389557004,1.0
19700,-0.4231015,1.0,4.0,539.61365,-360.22885,-338.8767791748047,-338.8767791748047,0.30023225788027047,1.0
