Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
12000,1.3933058,1.0,49.0,124.6971,8.598158,-298.1947326660156,-298.1947326660156,0.0,1.0
12100,1.3933058,1.0,49.0,102.45243,8.082691,-595.8700256347656,-595.8700256347656,0.0,1.0
12200,1.3933058,1.0,49.0,105.02795,8.176554,-652.0494995117188,-652.0494995117188,0.0,1.0
12300,1.3933058,1.0,49.0,65.34386,7.9392433,-556.7123718261719,-556.7123718261719,0.0,1.0
12400,1.3933058,1.0,49.0,102.55523,8.48032,-545.0203552246094,-545.0203552246094,0.0,1.0
12500,1.3933058,1.0,49.0,64.17714,7.8274126,-678.3002624511719,-678.3002624511719,0.0,1.0
12600,1.3933058,1.0,49.0,93.84033,7.8384724,-241.86309814453125,-241.86309814453125,0.0,1.0
12700,1.3933058,1.0,49.0,61.57675,7.918929,-552.5142517089844,-552.5142517089844,0.0,1.0
12800,1.3933058,1.0,49.0,106.83974,8.316748,-133.35647583007812,-133.35647583007812,0.0,1.0
12900,1.3933058,1.0,49.0,66.880356,7.6762238,-422.01014709472656,-422.01014709472656,0.0,1.0
13000,1.3903766,1.0,49.0,78.679115,7.9436665,-521.4889068603516,-521.4889068603516,0.0,1.0
13100,1.387328,1.0,49.0,70.331116,6.6311197,-500.4590759277344,-500.4590759277344,50.0,1.0
13200,1.387328,1.0,49.0,75.949615,6.91092,-558.9225006103516,-558.9225006103516,50.0,1.0
13300,1.387328,1.0,49.0,99.93875,6.9640026,-435.6164093017578,-435.6164093017578,50.0,1.0
13400,1.387328,1.0,49.0,77.5194,6.7539454,-644.3363952636719,-644.3363952636719,50.0,1.0
13500,1.387328,1.0,49.0,106.73459,6.848984,-313.8244934082031,-313.8244934082031,50.0,1.0
13600,1.387328,1.0,49.0,63.327168,6.887521,-434.04931640625,-434.04931640625,50.0,1.0
13700,1.387328,1.0,49.0,55.008614,6.868249,-530.6948394775391,-530.6948394775391,50.0,1.0
