Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Lesson/lessonID,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Episode Length,Is Training
15700,-18.206999,9.982033,1.3883514,1.0,-392.27989196777344,-392.27989196777344,0.0,49.0,1.0
15800,-6.8141074,10.03153,1.3883514,1.0,-262.20294761657715,-262.20294761657715,0.0,49.0,1.0
15900,-7.258175,10.157949,1.3883514,1.0,-353.00392150878906,-353.00392150878906,0.0,49.0,1.0
16000,-7.242281,10.059738,1.3883514,1.0,-440.635498046875,-440.635498046875,0.0,49.0,1.0
16100,-0.80709684,10.147752,1.3883514,1.0,-320.4437255859375,-320.4437255859375,0.0,49.0,1.0
16200,-15.987793,10.081198,1.3883514,1.0,-398.1191864013672,-398.1191864013672,0.0,49.0,1.0
16300,-21.852743,9.886873,1.3883514,1.0,-478.6899719238281,-478.6899719238281,0.0,49.0,1.0
16400,-1.7490115,9.525964,1.3883514,1.0,-283.7228012084961,-283.7228012084961,0.0,49.0,1.0
16500,-20.53275,9.927229,1.3883514,1.0,-513.6187591552734,-513.6187591552734,0.0,49.0,1.0
16600,-10.276218,9.577364,1.3883514,1.0,-526.6539611816406,-526.6539611816406,0.0,49.0,1.0
16700,-12.272978,9.191278,1.3904104,1.0,-493.82080078125,-493.82080078125,25.0,49.0,1.0
16800,-4.8889976,8.509865,1.3904371,1.0,-534.5320129394531,-534.5320129394531,50.0,49.0,1.0
16900,-12.469428,8.557693,1.3904371,1.0,-521.4224395751953,-521.4224395751953,50.0,49.0,1.0
17000,-25.40988,7.592681,1.3904371,1.0,-766.2703552246094,-766.2703552246094,50.0,49.0,1.0
17100,-9.219023,8.719834,1.3904371,1.0,-456.19309997558594,-456.19309997558594,50.0,49.0,1.0
17200,-14.132749,8.234854,1.3904371,1.0,-128.08399963378906,-128.08399963378906,50.0,49.0,1.0
17300,-20.071589,7.8716335,1.3904371,1.0,-625.1874694824219,-625.1874694824219,50.0,49.0,1.0
17400,-25.240234,7.9371614,1.3904371,1.0,-737.2554016113281,-737.2554016113281,50.0,49.0,1.0
17500,-11.225096,8.465302,1.3904371,1.0,-418.8675994873047,-418.8675994873047,50.0,49.0,1.0
17600,-19.589989,8.3269005,1.3904371,1.0,-472.8497009277344,-472.8497009277344,50.0,49.0,1.0
17700,-2.260655,8.780985,1.3903395,1.0,-334.95800018310547,-334.95800018310547,50.0,49.0,1.0
17800,-30.431053,8.915799,1.3902379,1.0,-727.5762939453125,-727.5762939453125,50.0,49.0,1.0
17900,-38.034184,9.233319,1.3902379,1.0,-933.4312438964844,-933.4312438964844,50.0,49.0,1.0
