Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
4700,0.47755066,1.0,14.0,166.11366,-14.686851,-88.24820709228516,-88.24820709228516,0.0,1.0
4800,0.48711455,1.0,14.0,167.93484,-14.257182,-102.80308405558269,-102.80308405558269,0.0,1.0
4900,0.489056,1.0,14.0,168.21199,-14.282928,-108.07875170026507,-108.07875170026507,0.0,1.0
5000,0.477185,1.0,14.0,168.01927,-14.164327,-124.97878156389508,-124.97878156389508,0.0,1.0
5100,0.46820387,1.0,14.0,169.24701,-14.295497,-118.60534032185872,-118.60534032185872,0.0,1.0
5200,0.49933097,1.0,14.0,165.8452,-14.122313,-127.15643092564174,-127.15643092564174,0.0,1.0
5300,0.49871317,1.0,14.0,167.60501,-14.250142,-102.72357831682477,-102.72357831682477,0.0,1.0
5400,0.48779213,1.0,14.0,164.35231,-14.125832,-129.51504135131836,-129.51504135131836,0.0,1.0
5500,0.47384256,1.0,14.0,169.45157,-14.292796,-116.25008283342633,-116.25008283342633,0.0,1.0
5600,0.47015846,1.0,14.0,167.40042,-14.184839,-124.52105712890625,-124.52105712890625,0.0,1.0
5700,0.49572402,1.0,14.0,165.51292,-14.223485,-133.67786026000977,-133.67786026000977,0.0,1.0
5800,0.552612,1.0,14.0,135.29164,-12.197908,-116.37013680594308,-116.37013680594308,15.0,1.0
5900,0.48409888,1.0,14.0,132.73605,-12.131613,-137.3745618547712,-137.3745618547712,15.0,1.0
6000,0.4203785,1.0,14.0,132.81166,-11.567795,-125.16397349039714,-125.16397349039714,15.0,1.0
6100,0.43183348,1.0,14.0,132.26103,-11.601802,-99.09203393118722,-99.09203393118722,15.0,1.0
6200,0.44392115,1.0,14.0,130.27005,-11.219129,-115.73615155901227,-115.73615155901227,15.0,1.0
6300,0.46091312,1.0,14.0,126.044106,-11.130378,-114.18812942504883,-114.18812942504883,15.0,1.0
6400,0.4119385,1.0,14.0,124.800606,-10.926462,-109.96135112217495,-109.96135112217495,15.0,1.0
6500,0.4159752,1.0,14.0,122.51332,-10.708594,-97.9218076978411,-97.9218076978411,15.0,1.0
6600,0.537305,1.0,14.0,117.87055,-10.384557,-101.56110382080078,-101.56110382080078,15.0,1.0
6700,0.44087696,1.0,14.0,119.061485,-10.369988,-90.34970092773438,-90.34970092773438,15.0,1.0
6800,0.3873521,1.0,14.0,116.32197,-10.161553,-103.51915522984096,-103.51915522984096,15.0,1.0
6900,0.3808061,1.0,14.0,115.73336,-10.07498,-92.49580510457356,-92.49580510457356,14.961208979288736,1.0
7000,0.36850634,1.0,14.0,112.51135,-9.800697,-112.2515127999442,-112.2515127999442,15.0,1.0
7100,0.4088758,1.0,14.0,109.17473,-9.673881,-108.37034606933594,-108.37034606933594,14.981169019426618,1.0
7200,0.42519018,1.0,14.0,107.005585,-9.67977,-104.44352340698242,-104.44352340698242,14.990041097005209,1.0
7300,0.3481955,1.0,14.0,104.75539,-9.3804455,-115.1580091203962,-115.1580091203962,15.0,1.0
7400,0.35852495,1.0,14.0,106.02105,-9.528997,-96.38178362165179,-96.38178362165179,15.0,1.0
7500,0.37600416,1.0,14.0,104.910706,-9.459954,-87.18824195861816,-87.18824195861816,15.0,1.0
7600,0.36723474,1.0,14.0,102.68507,-9.257471,-96.55891636439732,-96.55891636439732,14.97974695478167,1.0
7700,0.3905882,1.0,14.0,100.26676,-9.159376,-41.776537214006694,-41.776537214006694,15.0,1.0
7800,0.4222741,1.0,14.0,101.8773,-9.3591585,-66.848140001297,-66.848140001297,15.0,1.0
7900,0.3714152,1.0,14.0,95.26714,-8.931878,-79.18056270054409,-79.18056270054409,15.0,1.0
