Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
50700,-1.0818161,4.0,49.0,1175.5312,-5.3159394,-526.0,-526.0,0.0,1.0
50800,-1.6048361,4.0,49.0,1494.7993,-5.664866,-520.5,-520.5,0.0,1.0
50900,-3.2466702,4.0,49.0,436.69983,-5.338073,-463.0,-463.0,0.0,1.0
51000,-1.7835885,4.0,49.0,193.43503,-5.3987656,-327.5,-327.5,0.0,1.0
51100,-1.7716117,4.0,49.0,311.70258,-5.3564577,-369.5,-369.5,0.0,1.0
51200,-1.5027933,4.0,49.0,1060.1592,-5.203272,-446.5,-446.5,0.0,1.0
51300,-1.8861278,4.0,49.0,1669.9701,-5.989448,-359.01900482177734,-359.01900482177734,0.0,1.0
51400,-1.7341064,4.0,49.0,945.7832,-5.086668,-417.5,-417.5,0.0,1.0
51500,-4.3192916,4.0,49.0,926.09875,-5.63167,-516.5,-516.5,0.0,1.0
51600,-2.2499905,4.0,49.0,1423.8143,-5.5659266,-98.53085327148438,-98.53085327148438,0.0,1.0
51700,-3.1808634,4.0,49.0,-4.9392776,-5.3669653,-438.5,-438.5,0.0,1.0
51800,-1.5134662,4.0,49.0,1874.8473,-7.531521,102.24759674072266,102.24759674072266,0.006081881932914257,1.0
51900,-3.978401,4.0,49.0,1035.2212,-5.6136217,-411.5,-411.5,0.007139541441574693,1.0
52000,-2.6143732,4.0,49.0,859.52026,-6.234518,-475.5,-475.5,0.008379176259040833,1.0
52100,-4.090808,4.0,49.0,369.09772,-6.181139,-404.5,-404.5,0.00782721396535635,1.0
52200,-4.3057346,4.0,49.0,1653.1367,-7.2178035,-559.5,-559.5,0.004187031416222453,1.0
52300,-1.9549636,4.0,49.0,1250.7764,-7.0464983,-523.0,-523.0,0.001449188042897731,1.0
