Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
100,1.417714,0.0,14.0,0.08142971,0.104739666,185.41666666666666,185.41666666666666,0.0,1.0
200,1.4179736,0.0,14.0,0.07425602,0.15824737,185.71428571428572,185.71428571428572,0.0,1.0
300,1.4186616,0.0,14.0,0.11128748,0.19541262,139.58333333333334,139.58333333333334,0.0,1.0
400,1.4179718,0.0,14.0,0.07395669,0.18833375,166.07142857142858,166.07142857142858,0.0,1.0
500,1.4183481,0.0,14.0,0.07486105,0.15339164,146.42857142857142,146.42857142857142,0.0,1.0
600,1.41726,0.0,14.0,0.12063527,0.10424504,141.66666666666666,141.66666666666666,0.0,1.0
700,1.4182377,0.0,14.0,0.073722996,0.15955627,117.85714285714286,117.85714285714286,0.0,1.0
800,1.4190192,0.0,14.0,0.049821228,0.13697544,151.78571428571428,151.78571428571428,0.0,1.0
900,1.4175029,0.0,14.0,0.08329313,0.106428534,193.75,193.75,0.0,1.0
1000,1.4182206,0.0,14.0,0.07975234,0.15429924,188.57142857142858,188.57142857142858,0.0,1.0
1100,1.3171037,0.0,14.0,7.733558,2.9840388,157.14285714285714,157.14285714285714,12.857142857142858,1.0
1200,1.231273,0.0,14.0,15.2078085,3.4016247,193.75,193.75,15.0,1.0
1300,1.1348742,0.0,14.0,15.027433,0.30109617,96.42857142857143,96.42857142857143,15.0,1.0
1400,1.1301575,0.0,14.0,16.857498,0.04635177,133.92857142857142,133.92857142857142,14.88920361655099,1.0
1500,1.1182042,0.0,14.0,19.378893,0.6033363,237.5,237.5,13.181291262308756,1.0
1600,1.0796479,0.0,14.0,22.12121,0.33134884,216.07142857142858,216.07142857142858,12.588819912501744,1.0
1700,1.036759,0.0,14.0,22.710724,-0.6729509,248.21428571428572,248.21428571428572,10.435041495731898,1.0
1800,1.0264658,0.0,14.0,26.651665,-0.85370374,250.0,250.0,12.504994551340738,1.0
1900,1.0042624,0.0,14.0,32.268284,-1.5752629,246.42857142857142,246.42857142857142,9.786300454820905,1.0
2000,0.97369784,0.0,14.0,33.470093,-2.0717022,271.42857142857144,271.42857142857144,9.631062167031425,1.0
2100,0.98159736,0.0,14.0,40.864525,-2.9356072,325.0,325.0,9.017803033192953,1.0
2200,0.90541583,0.0,14.0,42.398144,-3.3961005,305.35714285714283,305.35714285714283,7.503581183297293,1.0
2300,0.882367,0.0,14.0,46.578632,-4.507827,342.85714285714283,342.85714285714283,6.119647639138358,1.0
2400,0.82384264,0.0,14.0,50.17763,-5.1676793,312.5,312.5,6.821082949638367,1.0
2500,0.8022371,0.0,14.0,55.569324,-5.950749,323.2142857142857,323.2142857142857,5.452145576477051,1.0
2600,0.7763408,0.0,14.0,62.874672,-7.3262134,335.7142857142857,335.7142857142857,4.042736530303955,1.0
2700,0.7471885,0.0,14.0,63.917744,-7.3039246,322.9166666666667,322.9166666666667,5.2711319128672285,1.0
2800,0.7295805,0.0,14.0,70.66271,-8.640666,305.35714285714283,305.35714285714283,5.5619590282440186,1.0
2900,0.726202,0.0,14.0,70.51506,-8.941394,257.14285714285717,257.14285714285717,5.060867956706455,1.0
3000,0.7104276,0.0,14.0,79.83152,-10.038085,302.0833333333333,302.0833333333333,4.3410797119140625,1.0
3100,0.6767645,0.0,14.0,80.323204,-10.308639,273.2142857142857,273.2142857142857,3.896450860159738,1.0
3200,0.6903034,0.0,14.0,83.271416,-11.102588,317.85714285714283,317.85714285714283,4.433716399329049,1.0
3300,0.6582346,0.0,14.0,90.28018,-11.5084715,312.5,312.5,3.143836736679077,1.0
3400,0.6243975,0.0,14.0,92.362434,-11.857928,330.35714285714283,330.35714285714283,3.995405946459089,1.0
3500,0.6208051,0.0,14.0,97.22402,-12.84237,307.14285714285717,307.14285714285717,3.509925603866577,1.0
3600,0.5953851,0.0,14.0,104.636314,-13.192094,333.3333333333333,333.3333333333333,3.5166967312494912,1.0
3700,0.5595444,0.0,14.0,112.39706,-13.961932,350.0,350.0,2.9031117984226773,1.0
3800,0.5140774,0.0,14.0,117.104675,-14.088633,355.35714285714283,355.35714285714283,4.482769693647112,1.0
3900,0.47500828,0.0,14.0,120.46647,-14.896088,339.5833333333333,339.5833333333333,3.8801745573679605,1.0
4000,0.49733505,0.0,14.0,122.54982,-14.968324,317.85714285714283,317.85714285714283,5.715626103537423,1.0
4100,0.46169847,0.0,14.0,134.20567,-15.520055,355.35714285714283,355.35714285714283,3.4825595106397356,1.0
4200,0.43772888,0.0,14.0,136.10396,-16.29651,345.8333333333333,345.8333333333333,3.851964235305786,1.0
4300,0.42457676,0.0,14.0,139.39146,-16.372272,344.64285714285717,344.64285714285717,3.7910653863634383,1.0
4400,0.40742564,0.0,14.0,145.84346,-17.055536,305.35714285714283,305.35714285714283,3.2090206146240234,1.0
4500,0.34524855,0.0,14.0,150.9824,-17.12669,341.6666666666667,341.6666666666667,3.2731136083602905,1.0
4600,0.35214114,0.0,14.0,158.46896,-17.743364,330.35714285714283,330.35714285714283,4.2839994089944025,1.0
4700,0.3504609,0.0,14.0,159.71947,-17.814013,294.64285714285717,294.64285714285717,6.047599520002093,1.0
4800,0.26420447,0.0,14.0,167.54448,-18.455061,308.3333333333333,308.3333333333333,2.7973379294077554,1.0
4900,0.29484755,0.0,14.0,170.54654,-18.728664,308.92857142857144,308.92857142857144,4.9815256255013605,1.0
5000,0.3204716,0.0,14.0,175.02417,-18.879011,317.85714285714283,317.85714285714283,4.643706049237933,1.0
5100,0.29687923,0.0,14.0,179.45476,-19.16625,291.6666666666667,291.6666666666667,3.7730080286661782,1.0
5200,0.23784992,0.0,14.0,182.779,-19.371204,360.7142857142857,360.7142857142857,4.65397013936724,1.0
5300,0.2583277,0.0,14.0,179.70639,-19.177704,294.64285714285717,294.64285714285717,6.891765356063843,1.0
5400,0.20182674,0.0,14.0,188.40193,-19.561838,333.3333333333333,333.3333333333333,5.230587283770244,1.0
5500,0.19999689,0.0,14.0,198.58113,-20.518753,335.7142857142857,335.7142857142857,3.954436710902623,1.0
5600,0.13447097,0.0,14.0,202.70491,-20.312037,298.2142857142857,298.2142857142857,3.6479636941637312,1.0
5700,0.16957006,0.0,14.0,209.25566,-20.46141,331.25,331.25,3.6259361505508423,1.0
5800,0.119807445,0.0,14.0,215.52881,-21.062412,353.57142857142856,353.57142857142856,3.1273815631866455,1.0
5900,0.15681563,0.0,14.0,208.76915,-20.420322,296.42857142857144,296.42857142857144,5.305054153714861,1.0
6000,0.12369653,0.0,14.0,217.01698,-20.716257,320.8333333333333,320.8333333333333,5.763078212738037,1.0
6100,0.09232962,0.0,14.0,231.21866,-21.518305,330.35714285714283,330.35714285714283,3.525731018611363,1.0
6200,0.09297815,0.0,14.0,232.19084,-21.498785,308.92857142857144,308.92857142857144,3.516768114907401,1.0
6300,0.038657386,0.0,14.0,235.78645,-21.437696,331.25,331.25,3.144152522087097,1.0
6400,0.07106705,0.0,14.0,236.82619,-21.664003,350.0,350.0,5.651924065181187,1.0
6500,0.03089625,0.0,14.0,245.9382,-21.784328,308.92857142857144,308.92857142857144,5.0569027832576205,1.0
6600,-0.00268312,0.0,14.0,247.89833,-21.5178,270.8333333333333,270.8333333333333,3.399207592010498,1.0
6700,0.024231726,0.0,14.0,255.80692,-21.728872,355.35714285714283,355.35714285714283,4.341651439666748,1.0
6800,-0.021061525,0.0,14.0,265.02634,-22.097607,317.85714285714283,317.85714285714283,2.9366163866860524,1.0
6900,-0.013673845,0.0,14.0,257.5832,-21.599646,347.9166666666667,347.9166666666667,3.6322882572809854,1.0
7000,0.009526352,0.0,14.0,276.27954,-22.117764,332.14285714285717,332.14285714285717,3.562741892678397,1.0
7100,-0.032396436,0.0,14.0,275.73416,-21.773474,339.2857142857143,339.2857142857143,3.7509516307285855,1.0
7200,-0.091435336,0.0,14.0,287.9415,-22.072939,360.4166666666667,360.4166666666667,3.7924975156784058,1.0
7300,-0.13684732,0.0,14.0,283.94797,-21.765722,341.07142857142856,341.07142857142856,3.206036397389003,1.0
7400,-0.11652175,0.0,14.0,296.93015,-22.082905,294.64285714285717,294.64285714285717,2.9146383830479214,1.0
7500,-0.14840846,0.0,14.0,307.77667,-22.457212,337.5,337.5,3.271656552950541,1.0
7600,-0.08462063,0.0,14.0,306.82178,-22.03818,366.07142857142856,366.07142857142856,3.299788168498448,1.0
7700,-0.120344676,0.0,14.0,307.14056,-21.634445,333.92857142857144,333.92857142857144,2.8686415808541432,1.0
7800,-0.1743696,0.0,14.0,310.64523,-21.54193,372.9166666666667,372.9166666666667,2.57974640528361,1.0
7900,-0.14449677,0.0,14.0,311.31937,-21.422304,341.07142857142856,341.07142857142856,2.791733520371573,1.0
8000,-0.2103061,0.0,14.0,319.72504,-21.455915,350.0,350.0,3.675950220652989,1.0
8100,-0.24072295,0.0,14.0,330.1282,-21.86644,366.6666666666667,366.6666666666667,3.6406566301981607,1.0
8200,-0.23940465,0.0,14.0,330.72934,-21.28256,350.0,350.0,3.644698006766183,1.0
8300,-0.27166775,0.0,14.0,339.3078,-21.532362,353.57142857142856,353.57142857142856,3.1191437244415283,1.0
8400,-0.26712424,0.0,14.0,346.08704,-21.56304,370.8333333333333,370.8333333333333,3.7203733921051025,1.0
8500,-0.26024503,0.0,14.0,335.22806,-20.862501,325.0,325.0,3.748210532324655,1.0
8600,-0.2456011,0.0,14.0,354.40646,-21.637821,341.07142857142856,341.07142857142856,2.887005465371268,1.0
8700,-0.28979957,0.0,14.0,351.39664,-21.049734,314.5833333333333,314.5833333333333,2.8139359951019287,1.0
8800,-0.27051765,0.0,14.0,353.26938,-20.754896,344.64285714285717,344.64285714285717,5.222063507352557,1.0
8900,-0.30908734,0.0,14.0,368.3458,-20.968927,332.14285714285717,332.14285714285717,3.680883986609323,1.0
9000,-0.32405978,0.0,14.0,370.0651,-20.791925,356.25,356.25,3.1865453720092773,1.0
9100,-0.3305785,0.0,14.0,369.1784,-20.571827,348.2142857142857,348.2142857142857,5.169171844209943,1.0
9200,-0.31244943,0.0,14.0,378.54352,-20.242771,344.64285714285717,344.64285714285717,4.302286352430071,1.0
9300,-0.39974165,0.0,14.0,392.96323,-20.811323,372.9166666666667,372.9166666666667,2.6517379681269326,1.0
9400,-0.39795664,0.0,14.0,390.0732,-20.366665,339.2857142857143,339.2857142857143,2.994330883026123,1.0
9500,-0.40822017,0.0,14.0,398.78815,-20.18654,353.57142857142856,353.57142857142856,3.4155917848859514,1.0
9600,-0.45687124,0.0,14.0,399.34818,-19.728682,327.0833333333333,327.0833333333333,4.159926970799764,1.0
9700,-0.49217305,0.0,14.0,418.7181,-20.185022,346.42857142857144,346.42857142857144,2.4980108737945557,1.0
9800,-0.43719712,0.0,14.0,421.0342,-19.861279,346.42857142857144,346.42857142857144,2.7554261003221785,1.0
9900,-0.50542086,0.0,14.0,422.36398,-19.5204,360.4166666666667,360.4166666666667,3.235311985015869,1.0
10000,-0.5598199,0.0,14.0,429.04813,-19.68507,353.57142857142856,353.57142857142856,2.8091549703053067,1.0
10100,-0.39898112,0.0,14.0,425.93033,-19.545694,292.85714285714283,292.85714285714283,2.789691618510655,1.0
10200,-0.47953397,0.0,14.0,436.88754,-19.082447,362.5,362.5,5.157429297765096,1.0
10300,-0.5460045,0.0,14.0,436.87473,-18.54134,310.7142857142857,310.7142857142857,2.933131320135934,1.0
10400,-0.60345304,0.0,14.0,447.03152,-18.442791,346.42857142857144,346.42857142857144,3.648494175502232,1.0
10500,-0.5643326,0.0,14.0,451.0338,-18.744467,339.5833333333333,339.5833333333333,3.388044754664103,1.0
10600,-0.5641387,0.0,14.0,450.68173,-18.208326,369.64285714285717,369.64285714285717,3.2197992461068288,1.0
10700,-0.5759321,0.0,14.0,464.5671,-17.950314,333.92857142857144,333.92857142857144,2.6531247070857455,1.0
10800,-0.4838251,0.0,14.0,458.73984,-18.224722,325.0,325.0,3.720222314198812,1.0
10900,-0.56428856,0.0,14.0,477.8602,-17.673313,346.42857142857144,346.42857142857144,2.9298459802355086,1.0
11000,-0.6052995,0.0,14.0,465.72208,-17.653978,342.85714285714283,342.85714285714283,3.3127154282161166,1.0
11100,-0.72713476,0.0,14.0,486.40146,-17.575876,316.6666666666667,316.6666666666667,2.7619439363479614,1.0
11200,-0.67851615,0.0,14.0,497.07565,-17.489035,362.5,362.5,3.756747382027762,1.0
11300,-0.76066715,0.0,14.0,509.38144,-17.521555,323.2142857142857,323.2142857142857,2.472513164792742,1.0
11400,-0.5799931,0.0,14.0,498.13467,-16.97062,331.25,331.25,2.736071507136027,1.0
11500,-0.7878836,0.0,14.0,505.38327,-16.866,353.57142857142856,353.57142857142856,2.7149483476366316,1.0
11600,-0.77916515,0.0,14.0,505.93472,-16.232191,333.92857142857144,333.92857142857144,3.8154220240456715,1.0
11700,-0.6986682,0.0,14.0,516.10815,-16.693464,356.25,356.25,3.544143875439962,1.0
11800,-0.7347843,0.0,14.0,519.54346,-16.134304,366.07142857142856,366.07142857142856,3.1410158702305386,1.0
