Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1600,1.0815176,0.0,14.0,20.88761,0.26607108,200.0,200.0,0.0,1.0
1700,1.078296,0.0,14.0,22.150959,0.27225178,273.2142857142857,273.2142857142857,0.0,1.0
1800,1.0880895,0.0,14.0,21.720488,0.20791115,247.91666666666666,247.91666666666666,0.0,1.0
1900,1.0682356,0.0,14.0,21.413486,0.23268624,226.78571428571428,226.78571428571428,0.0,1.0
2000,1.0836375,0.0,14.0,19.47208,0.1602437,248.21428571428572,248.21428571428572,0.0,1.0
2100,1.0956897,0.0,14.0,21.589745,0.23616476,277.0833333333333,277.0833333333333,0.0,1.0
2200,1.075441,0.0,14.0,20.259043,0.22356904,267.85714285714283,267.85714285714283,0.0,1.0
2300,1.0960512,0.0,14.0,19.979265,0.22301078,210.71428571428572,210.71428571428572,0.0,1.0
2400,1.0978811,0.0,14.0,19.564116,0.28137308,185.41666666666666,185.41666666666666,0.0,1.0
2500,1.0773834,0.0,14.0,21.716404,0.19375418,248.21428571428572,248.21428571428572,0.0,1.0
2600,1.0944161,0.0,14.0,22.779242,0.8633122,239.28571428571428,239.28571428571428,6.428571428571429,1.0
2700,1.0252719,0.0,14.0,28.99996,1.2422196,277.0833333333333,277.0833333333333,15.0,1.0
2800,1.0675474,0.0,14.0,31.853868,-0.073311634,260.7142857142857,260.7142857142857,15.0,1.0
2900,1.0001043,0.0,14.0,37.781345,-0.84909785,317.85714285714283,317.85714285714283,15.0,1.0
3000,0.99268436,0.0,14.0,42.214413,-1.4914526,306.25,306.25,15.0,1.0
3100,0.9846998,0.0,14.0,45.285313,-1.3306615,298.2142857142857,298.2142857142857,15.0,1.0
3200,0.90890133,0.0,14.0,52.91224,-1.5955251,360.7142857142857,360.7142857142857,15.0,1.0
3300,0.8728046,0.0,14.0,57.47809,-1.9964666,364.5833333333333,364.5833333333333,15.0,1.0
3400,0.84161466,0.0,14.0,61.500374,-2.9057865,335.7142857142857,335.7142857142857,15.0,1.0
3500,0.8142862,0.0,14.0,66.22133,-3.1546133,357.14285714285717,357.14285714285717,15.0,1.0
3600,0.769775,0.0,14.0,71.343895,-3.4971883,358.3333333333333,358.3333333333333,15.0,1.0
3700,0.76001203,0.0,14.0,76.9411,-3.9324193,369.64285714285717,369.64285714285717,15.0,1.0
3800,0.75330323,0.0,14.0,82.985306,-4.561939,360.7142857142857,360.7142857142857,15.0,1.0
3900,0.7422059,0.0,14.0,85.41155,-5.2746205,350.0,350.0,15.0,1.0
4000,0.7083767,0.0,14.0,91.51941,-5.425361,350.0,350.0,15.0,1.0
4100,0.70044994,0.0,14.0,97.010216,-5.8728914,369.64285714285717,369.64285714285717,15.0,1.0
4200,0.6460438,0.0,14.0,100.533134,-6.1974125,362.5,362.5,15.0,1.0
4300,0.6656792,0.0,14.0,107.30145,-6.8201537,351.7857142857143,351.7857142857143,15.0,1.0
4400,0.61477536,1.0,14.0,113.88874,-6.914576,242.8647242954799,242.8647242954799,15.0,1.0
4500,0.64502335,1.0,14.0,117.51971,-7.0634875,-102.42381159464519,-102.42381159464519,15.0,1.0
4600,0.66434383,1.0,14.0,113.416,-7.7379565,-99.78750501360211,-99.78750501360211,15.0,1.0
4700,0.68221515,1.0,14.0,120.85512,-7.8635,-99.1492178780692,-99.1492178780692,15.0,1.0
4800,0.6122961,1.0,14.0,128.62029,-9.033898,-115.26982752482097,-115.26982752482097,15.0,1.0
4900,0.64611816,1.0,14.0,128.52315,-8.608479,-118.25109318324498,-118.25109318324498,15.0,1.0
5000,0.6608716,1.0,14.0,131.47261,-8.904666,-95.24441582815987,-95.24441582815987,15.0,1.0
5100,0.5992777,1.0,14.0,132.29352,-9.553706,-116.70609919230144,-116.70609919230144,15.0,1.0
5200,0.6055449,1.0,14.0,138.1991,-10.537157,-120.64750453404018,-120.64750453404018,15.0,1.0
5300,0.5513662,1.0,12.714285714285714,145.21497,-11.656326,-105.34242902483258,-105.34242902483258,15.0,1.0
5400,0.5919107,1.0,14.0,141.43282,-12.152373,56.04422977992466,56.04422977992466,13.714285714285714,1.0
5500,0.5311139,1.0,14.0,150.47737,-12.993055,-118.18017905099052,-118.18017905099052,15.0,1.0
5600,0.50333196,1.0,14.0,150.45036,-13.22511,-125.4312121073405,-125.4312121073405,15.0,1.0
5700,0.48493633,1.0,13.125,155.00229,-14.033691,32.06768321990967,32.06768321990967,14.125,1.0
5800,0.44429135,1.0,14.0,158.63864,-14.192116,-109.85670471191406,-109.85670471191406,15.0,1.0
5900,0.49987823,1.0,14.0,158.455,-14.392749,-102.82825578962054,-102.82825578962054,15.0,1.0
6000,0.43751225,1.0,14.0,160.29063,-15.233165,-111.439939226423,-111.439939226423,15.0,1.0
6100,0.492982,1.0,10.375,155.98018,-14.590416,294.791841506958,294.791841506958,11.375,1.0
6200,0.48375803,1.0,13.857142857142858,167.37874,-16.032795,55.91589682442801,55.91589682442801,14.857142857142858,1.0
6300,0.38902757,1.0,11.25,169.13654,-15.625412,182.4082908630371,182.4082908630371,12.25,1.0
6400,0.35723406,1.0,14.0,175.59865,-17.099705,-112.99811335972377,-112.99811335972377,15.0,1.0
6500,0.46596995,1.0,12.285714285714286,170.41335,-17.638014,44.77410125732422,44.77410125732422,13.285714285714286,1.0
6600,0.3750083,1.0,13.571428571428571,180.07707,-18.412043,43.416229248046875,43.416229248046875,14.571428571428571,1.0
6700,0.45774385,1.0,12.25,169.42499,-19.275978,136.72809314727783,136.72809314727783,13.25,1.0
6800,0.33851868,1.0,11.428571428571429,176.5674,-19.081125,35.51349312918527,35.51349312918527,14.428571428571429,1.0
6900,0.40250242,1.0,11.11111111111111,179.77014,-20.454136,358.23235914442273,358.23235914442273,10.555555555555555,1.0
7000,0.3791185,1.0,11.5,193.98471,-21.174364,284.11069202423096,284.11069202423096,12.875,1.0
7100,0.31669885,1.0,12.857142857142858,192.82713,-21.584103,189.30821119035994,189.30821119035994,13.428571428571429,1.0
7200,0.34879735,1.0,12.5,192.82675,-22.386608,34.421791076660156,34.421791076660156,13.5,1.0
7300,0.41958034,1.0,11.0,227.21915,-25.2734,297.9702935218811,297.9702935218811,12.0,1.0
7400,0.5831841,1.0,11.75,238.44948,-28.945305,277.33291244506836,277.33291244506836,12.75,1.0
7500,0.42047277,1.0,12.714285714285714,219.60147,-25.316263,35.347686767578125,35.347686767578125,13.714285714285714,1.0
7600,0.30409327,1.0,12.25,194.35616,-23.881023,5.7389373779296875,5.7389373779296875,13.25,1.0
7700,0.33659187,1.0,11.125,244.7352,-27.324844,154.72808837890625,154.72808837890625,12.125,1.0
7800,0.4169388,1.0,10.375,250.0873,-27.57185,155.73437023162842,155.73437023162842,12.0,1.0
7900,0.40994075,1.0,11.625,272.67566,-29.359016,293.76927852630615,293.76927852630615,12.0,1.0
8000,0.37672487,1.0,10.0,294.13492,-29.609201,483.38814036051434,483.38814036051434,11.0,1.0
8100,0.27318254,1.0,14.0,249.14038,-27.896414,-122.63228062220982,-122.63228062220982,15.0,1.0
8200,0.25862727,1.0,10.625,254.577,-28.558395,281.71312713623047,281.71312713623047,11.625,1.0
8300,0.29532132,1.0,11.625,254.70435,-28.16082,273.59434032440186,273.59434032440186,13.25,1.0
8400,0.24171951,1.0,10.777777777777779,313.5145,-31.680681,490.1263444688585,490.1263444688585,11.196929613749186,1.0
8500,0.2917552,1.0,8.8,318.69827,-31.056519,425.99448165893557,425.99448165893557,9.760936069488526,1.0
8600,0.20300049,1.0,12.571428571428571,277.8936,-29.201479,34.54078565325056,34.54078565325056,13.55205031803676,1.0
8700,0.27484313,1.0,13.571428571428571,317.25253,-30.335009,45.037642342703684,45.037642342703684,14.4591737474714,1.0
8800,0.11750935,1.0,12.0,366.3058,-32.723515,166.68146324157715,166.68146324157715,12.983120322227478,1.0
8900,0.09469129,1.0,12.125,297.7831,-29.184551,144.60999011993408,144.60999011993408,13.020290851593018,1.0
9000,0.17067634,1.0,9.555555555555555,361.87213,-31.170807,478.64610375298395,478.64610375298395,10.326727125379774,1.0
9100,0.06625061,2.0,7.916666666666667,454.36218,-34.853794,615.3165550231934,615.3165550231934,8.875791947046915,1.0
9200,-0.03906554,2.0,12.428571428571429,570.8162,-38.4145,223.59573418753487,223.59573418753487,13.857142857142858,1.0
9300,0.006439695,2.0,14.0,396.49924,-32.165146,74.36133575439453,74.36133575439453,14.46488789149693,1.0
9400,-0.062062066,2.0,14.0,405.44754,-32.174145,-69.02685483296712,-69.02685483296712,14.957176526387533,1.0
9500,0.0018300636,2.0,13.714285714285714,494.18204,-33.97204,81.76569584437779,81.76569584437779,14.55983897617885,1.0
9600,-0.019257223,2.0,14.0,270.2414,-29.164095,-56.37007686070034,-56.37007686070034,14.577493667602539,1.0
9700,-0.039038505,2.0,14.0,374.83054,-31.541868,-61.19302749633789,-61.19302749633789,14.65860923131307,1.0
9800,-0.021947477,2.0,12.5,481.52322,-33.326393,60.49932146072388,60.49932146072388,13.284120202064514,1.0
9900,0.037698373,2.0,14.0,328.86093,-30.43221,-76.7490703037807,-76.7490703037807,14.961401121956962,1.0
10000,0.050330978,2.0,11.714285714285714,614.3802,-34.269474,219.57259259905135,219.57259259905135,12.656507900782994,1.0
10100,-0.04314671,2.0,13.428571428571429,429.57486,-31.562946,86.52660478864398,86.52660478864398,14.0513516834804,1.0
10200,0.028029416,2.0,13.142857142857142,348.70322,-30.434225,-72.23107310703823,-72.23107310703823,14.948696681431361,1.0
10300,-0.022195173,2.0,12.25,652.10956,-31.586914,449.77272367477417,449.77272367477417,12.25762164592743,1.0
10400,-0.06932191,2.0,14.0,483.6587,-30.84312,-74.15613664899554,-74.15613664899554,14.425077302115303,1.0
10500,-0.18052992,2.0,13.833333333333334,727.60406,-33.538635,109.9820785522461,109.9820785522461,14.727382818857828,1.0
10600,-0.12790513,2.0,14.0,553.5195,-31.355879,-65.61998803274972,-65.61998803274972,14.444012778145927,1.0
10700,-0.16283143,2.0,12.25,740.054,-31.843025,197.67998504638672,197.67998504638672,12.71325159072876,1.0
10800,-0.13852434,2.0,12.857142857142858,516.0478,-30.133467,89.92386431353432,89.92386431353432,13.752775328499931,1.0
10900,-0.21437806,2.0,14.0,649.20526,-31.045311,-63.96044731140137,-63.96044731140137,14.45687452952067,1.0
11000,-0.17583655,2.0,13.285714285714286,668.3955,-30.171421,84.22441591535296,84.22441591535296,13.842182295663017,1.0
11100,-0.06451633,2.0,11.75,655.1185,-30.350471,321.99552631378174,321.99552631378174,12.427505373954773,1.0
11200,-0.19897164,2.0,14.0,422.21704,-29.600586,-59.2674184526716,-59.2674184526716,13.545691353934151,1.0
11300,-0.0990112,2.0,14.0,435.96576,-28.306593,-60.411329541887554,-60.411329541887554,14.35812132699149,1.0
11400,-0.25080633,2.0,12.857142857142858,550.20465,-29.537205,85.62626266479492,85.62626266479492,13.569338730403356,1.0
11500,-0.34594265,2.0,12.0,630.5671,-28.933895,85.61318043300084,85.61318043300084,12.738846097673688,1.0
11600,-0.25229973,2.0,12.875,614.60876,-27.704374,74.95240688323975,74.95240688323975,12.812137842178345,1.0
11700,-0.14785714,2.0,14.0,518.1515,-27.653337,-70.89916292826335,-70.89916292826335,14.099496523539225,1.0
11800,-0.21892695,2.0,14.0,450.8901,-27.477375,-55.729704175676616,-55.729704175676616,14.630871091570173,1.0
11900,-0.14236197,2.0,14.0,492.5866,-28.566147,-61.20328630719866,-61.20328630719866,14.511461802891322,1.0
12000,-0.12535843,2.0,14.0,657.2959,-25.4906,-63.08027585347494,-63.08027585347494,14.185011704762777,1.0
12100,-0.22552763,2.0,12.75,570.79785,-26.87535,78.81387221813202,78.81387221813202,13.308748960494995,1.0
12200,-0.22741689,2.0,14.0,590.11816,-25.577887,-70.03958638509114,-70.03958638509114,14.411334355672201,1.0
12300,-0.26235113,2.0,14.0,731.65106,-25.907965,-63.47618157523019,-63.47618157523019,14.299372264317103,1.0
12400,-0.2365471,2.0,13.857142857142858,497.86523,-27.415678,91.55984960283551,91.55984960283551,12.617940766470772,1.0
12500,-0.40888798,2.0,14.0,462.3442,-26.82059,-60.604576110839844,-60.604576110839844,12.635215282440186,1.0
12600,-0.34450465,2.0,14.0,625.8587,-26.00984,-48.23490524291992,-48.23490524291992,12.912825993129186,1.0
12700,-0.34145883,2.0,10.88888888888889,821.0589,-23.716503,518.3953789605034,518.3953789605034,10.846616427103678,1.0
12800,-0.43604615,2.0,10.75,725.22424,-24.402939,332.22039699554443,332.22039699554443,10.43608832359314,1.0
12900,-0.4357411,2.0,12.25,743.3639,-24.149464,76.2192964553833,76.2192964553833,11.833540797233582,1.0
13000,-0.30194804,2.0,11.714285714285714,702.46985,-23.442549,245.86438478742326,245.86438478742326,11.286988735198975,1.0
13100,-0.26976806,2.0,13.0,789.96716,-22.253063,207.30669331550598,207.30669331550598,12.065319180488586,1.0
13200,-0.4857914,2.0,14.0,660.51685,-24.58197,-51.699986139933266,-51.699986139933266,12.879368623097738,1.0
13300,-0.22886418,2.0,14.0,430.817,-23.66101,-52.391235624040874,-52.391235624040874,13.7134336744036,1.0
13400,-0.5346646,2.0,14.0,932.5001,-21.524323,-47.482572828020366,-47.482572828020366,12.532370703560966,1.0
13500,-0.2802178,2.0,14.0,569.1048,-22.755348,-48.198363622029625,-48.198363622029625,13.485272089640299,1.0
13600,-0.36264503,2.0,12.857142857142858,651.5466,-22.248165,98.2363725389753,98.2363725389753,12.837867191859655,1.0
13700,-0.34113377,2.0,12.0,592.5039,-22.09882,212.85486555099487,212.85486555099487,10.899032354354858,1.0
13800,-0.2559973,2.0,14.0,522.2002,-22.53935,-57.17473220825195,-57.17473220825195,13.340259007045201,1.0
13900,-0.5666619,2.0,13.714285714285714,753.2783,-20.874529,90.22629928588867,90.22629928588867,11.77058151790074,1.0
14000,-0.38546017,2.0,10.875,744.355,-19.993614,215.20006346702576,215.20006346702576,9.557340145111084,1.0
14100,-0.53655034,2.0,10.444444444444445,764.8929,-20.541243,411.59446716308594,411.59446716308594,9.293536557091606,1.0
14200,-0.21698566,2.0,12.285714285714286,617.5161,-21.067165,104.32629639761788,104.32629639761788,11.534331049237933,1.0
14300,-0.53399897,2.0,12.125,733.4685,-19.90136,199.00196051597595,199.00196051597595,10.980002522468567,1.0
14400,-0.61164254,2.0,12.857142857142858,697.6217,-19.558567,106.56155531747001,106.56155531747001,10.467521939958845,1.0
14500,-0.45460021,2.0,12.5,755.502,-17.721983,202.75943613052368,202.75943613052368,10.162201166152954,1.0
14600,-0.53843355,2.0,12.0,784.0934,-18.9483,96.51172528948102,96.51172528948102,10.796231814793178,1.0
14700,-0.6597675,2.0,13.142857142857142,661.9082,-18.970715,84.91420718601772,84.91420718601772,12.080052103315081,1.0
14800,-0.5269479,2.0,12.857142857142858,650.28253,-19.49714,96.95074571881976,96.95074571881976,11.400779315403529,1.0
14900,-0.30857688,2.0,13.125,559.1737,-19.561333,61.63209772109985,61.63209772109985,12.134262800216675,1.0
15000,-0.5923118,2.0,14.0,722.9576,-17.432508,-56.58222262064616,-56.58222262064616,12.695168336232504,1.0
15100,-0.8219126,2.0,13.285714285714286,759.84186,-17.394106,90.99433967045375,90.99433967045375,11.602378913334437,1.0
15200,-0.36601472,2.0,14.0,478.9025,-19.498674,-57.493024008614675,-57.493024008614675,11.779137066432408,1.0
15300,-0.83067584,2.0,14.0,832.4256,-17.150415,-58.21575764247349,-58.21575764247349,11.14388302394322,1.0
15400,-0.6274827,2.0,12.142857142857142,874.41656,-14.133279,118.9802829197475,118.9802829197475,10.151570047651019,1.0
15500,-0.6986485,2.0,14.0,767.1225,-16.09782,-39.18322455883026,-39.18322455883026,11.104673658098493,1.0
15600,-0.5425478,2.0,14.0,658.9775,-17.36254,-57.490289052327476,-57.490289052327476,11.756008307139078,1.0
15700,-0.6194374,2.0,14.0,676.1842,-16.068935,-67.03931345258441,-67.03931345258441,13.459051132202148,1.0
15800,-0.6840139,2.0,14.0,927.3954,-12.66298,-53.83709280831473,-53.83709280831473,10.828770637512207,1.0
15900,-0.9559956,2.0,14.0,780.6919,-15.707719,-51.7498566309611,-51.7498566309611,9.186779657999674,1.0
16000,-0.9073296,2.0,14.0,956.1564,-12.7002735,-38.31055695669992,-38.31055695669992,8.880465507507324,1.0
16100,-0.812605,2.0,14.0,729.4872,-14.067619,-43.010510853358674,-43.010510853358674,9.947626454489571,1.0
16200,-0.9705267,2.0,14.0,714.3134,-15.296124,-46.69029680887858,-46.69029680887858,10.274750153223673,1.0
16300,-0.81254005,2.0,14.0,814.02454,-13.065665,-42.272621154785156,-42.272621154785156,11.270427295139857,1.0
16400,-0.9635429,2.0,14.0,1038.3513,-11.87104,-51.178580147879465,-51.178580147879465,8.519645418439593,1.0
16500,-0.9783193,2.0,14.0,794.957,-13.471225,-52.879838943481445,-52.879838943481445,10.470764398574829,1.0
16600,-1.0205894,2.0,14.0,982.3675,-11.246168,-31.341829572405135,-31.341829572405135,8.826954296657018,1.0
16700,-1.1373788,2.0,14.0,911.75336,-12.735123,-42.505550384521484,-42.505550384521484,7.996713774544852,1.0
16800,-0.82559246,2.0,14.0,421.02524,-15.957442,-46.976709047953285,-46.976709047953285,11.18338672320048,1.0
16900,-0.9388297,2.0,14.0,745.7916,-13.82512,-38.29778916495187,-38.29778916495187,9.48055124282837,1.0
17000,-0.9597674,2.0,13.714285714285714,720.8316,-12.9752865,109.81726035049984,109.81726035049984,8.408235209328788,1.0
17100,-1.0204237,2.0,14.0,663.3763,-12.93818,-55.95432662963867,-55.95432662963867,11.152517523084368,1.0
17200,-0.87084293,2.0,14.0,771.48364,-12.25708,-49.80122756958008,-49.80122756958008,10.314375321070353,1.0
17300,-0.9387492,2.0,14.0,915.87384,-10.375862,-42.795143944876536,-42.795143944876536,7.7184921673366,1.0
17400,-1.0644876,2.0,14.0,781.1937,-12.596869,-36.023783275059294,-36.023783275059294,8.40049055644444,1.0
