Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
100,1.4127427,0.0,14.0,0.0028522622,0.01626576,135.41666666666666,135.41666666666666,0.0,1.0
200,1.4170424,0.0,14.0,-0.026051806,0.020813888,190.71428571428572,190.71428571428572,0.0,1.0
300,1.4164497,0.0,14.0,-0.0020279314,0.033995103,168.75,168.75,0.0,1.0
400,1.4169489,0.0,14.0,-0.031696808,0.034428798,135.71428571428572,135.71428571428572,0.0,1.0
500,1.4185659,0.0,14.0,-0.023988666,0.016383896,207.14285714285714,207.14285714285714,0.0,1.0
600,1.4184191,0.0,14.0,-0.015848761,0.029560825,164.58333333333334,164.58333333333334,0.0,1.0
700,1.4176438,0.0,14.0,-0.035586443,0.0057585025,172.85714285714286,172.85714285714286,0.0,1.0
800,1.4182072,0.0,14.0,-0.05251528,0.00052054174,187.5,187.5,0.0,1.0
900,1.414955,0.0,14.0,-0.04968959,0.0799404,133.33333333333334,133.33333333333334,0.0,1.0
1000,1.4168572,0.0,14.0,-0.028553648,0.07299782,123.21428571428571,123.21428571428571,0.0,1.0
1100,1.3025916,0.0,14.0,8.806392,3.9102397,135.71428571428572,135.71428571428572,12.857142857142858,1.0
1200,1.2045357,0.0,14.0,13.583365,3.3973978,114.58333333333333,114.58333333333333,15.0,1.0
1300,1.1480966,0.0,14.0,16.734692,1.2666943,110.71428571428571,110.71428571428571,15.0,1.0
1400,1.0984778,0.0,14.0,14.660384,-0.23118412,87.5,87.5,15.0,1.0
1500,1.0403042,0.0,14.0,18.91425,-0.93421483,202.08333333333334,202.08333333333334,15.0,1.0
1600,1.0170748,0.0,14.0,20.853245,-1.2360897,258.92857142857144,258.92857142857144,15.0,1.0
1700,0.9633095,0.0,14.0,23.119202,-1.8179182,283.92857142857144,283.92857142857144,15.0,1.0
1800,0.970825,0.0,14.0,24.137125,-2.1177568,283.3333333333333,283.3333333333333,15.0,1.0
1900,0.9509395,0.0,14.0,31.786222,-2.6120622,364.2857142857143,364.2857142857143,15.0,1.0
2000,0.89354867,0.0,14.0,36.650135,-3.50272,357.14285714285717,357.14285714285717,15.0,1.0
2100,0.87987757,0.0,14.0,41.579845,-4.5236287,300.0,300.0,15.0,1.0
2200,0.9042408,0.0,14.0,43.74549,-4.9723735,360.7142857142857,360.7142857142857,15.0,1.0
2300,0.8790901,0.0,14.0,49.45814,-5.7936406,341.07142857142856,341.07142857142856,15.0,1.0
2400,0.87693346,0.0,14.0,54.4545,-6.4397225,360.4166666666667,360.4166666666667,15.0,1.0
2500,0.85838157,0.0,14.0,60.062763,-7.0351214,348.2142857142857,348.2142857142857,15.0,1.0
2600,0.82998294,0.0,14.0,58.478573,-7.565128,271.42857142857144,271.42857142857144,15.0,1.0
2700,0.8305359,0.0,14.0,68.922264,-8.248605,368.75,368.75,15.0,1.0
2800,0.808422,0.0,14.0,73.13734,-8.906386,347.85714285714283,347.85714285714283,15.0,1.0
