Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
100,1.4160386,0.0,14.0,-0.021919854,0.051548272,181.25,181.25,0.0,1.0
200,1.4189132,0.0,14.0,-0.057243127,-0.039580755,167.85714285714286,167.85714285714286,0.0,1.0
300,1.3578974,0.0,14.0,8.482623,3.8352985,179.16666666666666,179.16666666666666,12.5,1.0
400,1.2299541,0.0,14.0,16.8462,2.3216975,55.357142857142854,55.357142857142854,15.0,1.0
500,1.22793,0.0,14.0,11.385642,4.396618,217.85714285714286,217.85714285714286,15.0,1.0
600,1.1879312,0.0,14.0,15.602036,2.49594,14.583333333333334,14.583333333333334,15.0,1.0
700,1.1507136,0.0,14.0,12.010682,2.7401655,75.0,75.0,15.0,1.0
800,1.0857368,0.0,14.0,15.128889,2.5477364,180.35714285714286,180.35714285714286,15.0,1.0
900,1.0135672,0.0,14.0,14.613464,1.4155698,152.08333333333334,152.08333333333334,15.0,1.0
1000,1.0375271,0.0,14.0,20.241013,0.7651137,46.42857142857143,46.42857142857143,15.0,1.0
1100,1.0391475,0.0,14.0,21.48097,0.69000435,42.857142857142854,42.857142857142854,15.0,1.0
1200,1.021921,0.0,14.0,22.781883,1.2177507,154.16666666666666,154.16666666666666,15.0,1.0
1300,1.0004084,0.0,14.0,23.950596,0.7666515,283.92857142857144,283.92857142857144,15.0,1.0
1400,0.95926434,0.0,14.0,27.776133,-0.036904193,301.7857142857143,301.7857142857143,15.0,1.0
1500,0.91877866,0.0,14.0,38.82342,-1.1434697,295.8333333333333,295.8333333333333,15.0,1.0
1600,0.8946088,0.0,14.0,37.58061,-1.3501656,285.7142857142857,285.7142857142857,15.0,1.0
1700,0.9045629,0.0,14.0,44.59186,-3.1629796,283.92857142857144,283.92857142857144,15.0,1.0
1800,0.88752425,0.0,14.0,48.374355,-3.510357,295.8333333333333,295.8333333333333,15.0,1.0
1900,0.8742786,0.0,14.0,47.992035,-3.9018261,305.35714285714283,305.35714285714283,15.0,1.0
2000,0.84695244,0.0,14.0,57.011963,-4.296122,339.2857142857143,339.2857142857143,15.0,1.0
2100,0.79562694,0.0,14.0,63.567764,-5.513083,316.6666666666667,316.6666666666667,15.0,1.0
2200,0.791859,0.0,14.0,64.96471,-5.421573,367.85714285714283,367.85714285714283,15.0,1.0
2300,0.7443983,0.0,14.0,71.141075,-6.0203433,366.07142857142856,366.07142857142856,15.0,1.0
2400,0.67626315,0.0,14.0,74.1578,-6.4222665,331.25,331.25,15.0,1.0
2500,0.7157003,0.0,14.0,78.71254,-7.201745,300.0,300.0,15.0,1.0
2600,0.7110449,0.0,14.0,83.87191,-7.5053024,355.35714285714283,355.35714285714283,15.0,1.0
2700,0.63008887,0.0,14.0,86.616615,-7.746631,300.0,300.0,15.0,1.0
2800,0.62409604,0.0,14.0,92.05065,-8.071065,335.7142857142857,335.7142857142857,15.0,1.0
2900,0.6244711,0.0,14.0,100.54182,-8.744415,333.92857142857144,333.92857142857144,15.0,1.0
3000,0.5843024,0.0,14.0,101.12243,-8.708059,316.6666666666667,316.6666666666667,15.0,1.0
3100,0.59159917,0.0,14.0,108.40613,-9.440912,330.35714285714283,330.35714285714283,15.0,1.0
3200,0.5087555,0.0,14.0,112.06608,-9.938429,351.7857142857143,351.7857142857143,15.0,1.0
3300,0.555693,0.0,14.0,116.17194,-9.959609,337.5,337.5,15.0,1.0
3400,0.52606064,0.0,14.0,122.74751,-9.779856,358.92857142857144,358.92857142857144,15.0,1.0
3500,0.4754196,0.0,14.0,123.22235,-10.32001,339.2857142857143,339.2857142857143,15.0,1.0
3600,0.42917967,0.0,14.0,135.36403,-10.512082,362.5,362.5,15.0,1.0
3700,0.4608136,0.0,14.0,135.74297,-10.671984,351.7857142857143,351.7857142857143,15.0,1.0
3800,0.3956689,0.0,14.0,143.28542,-11.397391,371.42857142857144,371.42857142857144,15.0,1.0
3900,0.39600912,0.0,14.0,144.71803,-10.981032,356.25,356.25,15.0,1.0
4000,0.41292924,0.0,14.0,144.55399,-11.057479,333.92857142857144,333.92857142857144,15.0,1.0
4100,0.34802276,0.0,14.0,152.85815,-11.644609,328.57142857142856,328.57142857142856,15.0,1.0
4200,0.36115867,0.0,14.0,158.77258,-11.455829,327.0833333333333,327.0833333333333,15.0,1.0
4300,0.37388068,0.0,14.0,164.6722,-11.694931,291.07142857142856,291.07142857142856,15.0,1.0
4400,0.35747892,0.0,14.0,171.01442,-11.525931,328.57142857142856,328.57142857142856,15.0,1.0
4500,0.37799522,0.0,14.0,171.60283,-11.346692,327.0833333333333,327.0833333333333,15.0,1.0
4600,0.31691438,0.0,14.0,185.33237,-11.366151,369.64285714285717,369.64285714285717,15.0,1.0
4700,0.33198023,0.0,14.0,189.80568,-11.174401,369.64285714285717,369.64285714285717,15.0,1.0
4800,0.25104636,0.0,14.0,194.46196,-11.15707,375.0,375.0,15.0,1.0
4900,0.30358607,0.0,14.0,196.0593,-10.866859,371.42857142857144,371.42857142857144,15.0,1.0
5000,0.22183624,0.0,14.0,193.52806,-10.989332,342.85714285714283,342.85714285714283,15.0,1.0
5100,0.18312626,0.0,14.0,200.51366,-11.164878,356.25,356.25,15.0,1.0
5200,0.16262752,0.0,14.0,211.96817,-11.115628,369.64285714285717,369.64285714285717,15.0,1.0
5300,0.18071316,0.0,14.0,210.47789,-10.975967,351.7857142857143,351.7857142857143,14.975615228925433,1.0
5400,0.123665124,0.0,14.0,229.59764,-10.692014,366.6666666666667,366.6666666666667,14.895428657531738,1.0
5500,0.097771615,0.0,14.0,233.41133,-10.267664,366.07142857142856,366.07142857142856,14.893461091177803,1.0
5600,0.10709278,1.0,14.0,241.48038,-10.282632,273.0,273.0,14.983191217694964,1.0
5700,0.11065269,1.0,14.0,242.49481,-10.278042,-176.64760080973306,-176.64760080973306,14.938224156697592,1.0
5800,0.14656,1.0,14.0,242.42375,-10.540482,-156.34922245570593,-156.34922245570593,14.993445805140905,1.0
5900,0.18834431,1.0,14.0,249.36307,-9.9857235,-163.64994594029017,-163.64994594029017,14.957739012581962,1.0
6000,0.20046766,1.0,14.0,242.46819,-10.296344,-161.77086639404297,-161.77086639404297,14.955350081125895,1.0
6100,0.16424893,1.0,14.0,243.08559,-10.220191,-143.51699720110213,-143.51699720110213,14.969321250915527,1.0
6200,0.114164025,1.0,14.0,263.83398,-10.088359,-170.91849190848214,-170.91849190848214,14.847370420183454,1.0
6300,0.12789378,1.0,14.0,253.5244,-10.158283,-147.33497365315756,-147.33497365315756,14.964226245880127,1.0
6400,0.08346891,1.0,14.0,260.72003,-10.078969,-160.11932591029577,-160.11932591029577,15.0,1.0
6500,0.10607129,1.0,14.0,261.4836,-9.779924,-173.49864414760046,-173.49864414760046,15.0,1.0
