Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
100,1.4223094,0.0,14.0,0.025117805,0.025281591,189.58333333333334,189.58333333333334,0.0,1.0
200,1.4203407,0.0,14.0,0.021697195,0.022362899,167.85714285714286,167.85714285714286,0.0,1.0
300,1.2677885,0.0,14.0,9.227988,3.4316654,52.083333333333336,52.083333333333336,12.5,1.0
400,1.1449958,0.0,14.0,10.581586,1.0544007,75.0,75.0,15.0,1.0
500,1.0948448,0.0,14.0,9.674136,-2.1006792,125.0,125.0,15.0,1.0
600,1.0326085,0.0,14.0,5.5935006,-3.5779686,160.41666666666666,160.41666666666666,15.0,1.0
700,0.99726,0.0,14.0,15.325655,-5.4417334,248.21428571428572,248.21428571428572,15.0,1.0
800,0.9799158,0.0,14.0,13.0118885,-5.455063,308.92857142857144,308.92857142857144,15.0,1.0
900,0.98015,0.0,14.0,21.150831,-7.113314,300.0,300.0,15.0,1.0
1000,0.9451653,0.0,14.0,26.988968,-7.9334855,353.57142857142856,353.57142857142856,15.0,1.0
1100,0.96730936,0.0,14.0,30.849806,-8.376833,332.14285714285717,332.14285714285717,15.0,1.0
1200,0.9449925,0.0,14.0,31.6053,-8.620431,318.75,318.75,15.0,1.0
1300,0.92029804,0.0,14.0,35.64539,-9.486265,332.14285714285717,332.14285714285717,15.0,1.0
1400,0.90542316,0.0,14.0,40.271786,-10.035685,326.7857142857143,326.7857142857143,15.0,1.0
1500,0.91966283,0.0,14.0,47.06811,-10.736846,372.9166666666667,372.9166666666667,15.0,1.0
1600,0.9042452,0.0,14.0,52.015617,-10.987238,358.92857142857144,358.92857142857144,14.694443157741002,1.0
1700,0.88709,0.0,14.0,53.904697,-11.265627,357.14285714285717,357.14285714285717,14.393844195774623,1.0
1800,0.85592854,0.0,14.0,56.976578,-11.579923,322.9166666666667,322.9166666666667,14.410755634307861,1.0
1900,0.835764,0.0,14.0,63.71163,-11.976057,371.42857142857144,371.42857142857144,14.114289964948382,1.0
2000,0.8310914,0.0,14.0,69.54561,-12.638066,369.64285714285717,369.64285714285717,14.402531623840332,1.0
2100,0.79345,0.0,14.0,70.81963,-12.754855,300.0,300.0,14.268442948659262,1.0
2200,0.79869646,0.0,14.0,81.26799,-13.333516,357.14285714285717,357.14285714285717,12.858670234680176,1.0
2300,0.764128,0.0,14.0,75.66005,-13.092997,338.57142857142856,338.57142857142856,13.131993157523018,1.0
2400,0.7412788,0.0,14.0,70.93574,-13.0014305,307.9166666666667,307.9166666666667,12.552809556325277,1.0
2500,0.71979594,0.0,14.0,87.34218,-13.523856,341.07142857142856,341.07142857142856,12.329072271074567,1.0
2600,0.7225568,0.0,14.0,97.67449,-13.823908,346.42857142857144,346.42857142857144,10.994667189461845,1.0
2700,0.6848773,0.0,14.0,102.90194,-13.850628,350.0,350.0,10.283113479614258,1.0
2800,0.68173695,0.0,14.0,107.1649,-14.209615,350.0,350.0,10.065558297293526,1.0
2900,0.65287924,0.0,14.0,109.72139,-13.955019,358.92857142857144,358.92857142857144,10.063775607517787,1.0
3000,0.6273673,0.0,14.0,111.06427,-14.300152,337.5,337.5,9.682664394378662,1.0
3100,0.6156384,0.0,14.0,122.54293,-14.607697,337.5,337.5,9.201798779623848,1.0
3200,0.6125429,0.0,14.0,124.64162,-14.6106415,358.92857142857144,358.92857142857144,8.977258682250977,1.0
3300,0.5646876,0.0,14.0,135.47893,-14.737981,356.25,356.25,9.395354509353638,1.0
3400,0.5736196,0.0,14.0,147.8514,-15.3688965,371.42857142857144,371.42857142857144,8.812200546264648,1.0
3500,0.55078524,0.0,14.0,146.48582,-14.930171,344.64285714285717,344.64285714285717,8.667647021157402,1.0
3600,0.50461364,0.0,14.0,149.4488,-15.0998955,350.0,350.0,6.9872673352559405,1.0
3700,0.4992712,0.0,14.0,158.59975,-15.322274,350.0,350.0,8.450521264757429,1.0
3800,0.45131037,0.0,14.0,155.54031,-14.998232,358.92857142857144,358.92857142857144,7.616774218423026,1.0
3900,0.47585195,0.0,14.0,159.46106,-14.956294,333.3333333333333,333.3333333333333,7.736188173294067,1.0
4000,0.45539796,0.0,14.0,165.08252,-15.082553,317.85714285714283,317.85714285714283,8.50694111415318,1.0
4100,0.40942216,0.0,14.0,178.07056,-15.071586,373.2142857142857,373.2142857142857,7.4931705338614325,1.0
4200,0.4004274,0.0,14.0,178.43903,-15.142582,364.5833333333333,364.5833333333333,7.4020771980285645,1.0
4300,0.3478816,0.0,14.0,186.20955,-15.194043,335.7142857142857,335.7142857142857,6.7060161999293735,1.0
4400,0.34783474,0.0,14.0,191.40005,-15.0948105,342.85714285714283,342.85714285714283,7.423246111188616,1.0
4500,0.3127658,0.0,14.0,193.9977,-15.064624,339.5833333333333,339.5833333333333,6.4033026695251465,1.0
4600,0.32505396,0.0,14.0,201.03189,-15.029061,369.64285714285717,369.64285714285717,7.81131328855242,1.0
4700,0.31845692,0.0,14.0,200.50673,-14.616757,351.7857142857143,351.7857142857143,7.370771203722272,1.0
4800,0.2884663,0.0,14.0,206.15489,-14.813552,310.4166666666667,310.4166666666667,7.052515268325806,1.0
4900,0.21111181,0.0,14.0,219.06714,-14.711242,344.64285714285717,344.64285714285717,5.826607636043003,1.0
5000,0.23733357,0.0,14.0,224.1714,-14.8242445,341.07142857142856,341.07142857142856,5.81975827898298,1.0
5100,0.25650945,0.0,14.0,231.41669,-14.82618,362.5,362.5,6.45442263285319,1.0
5200,0.20580357,0.0,14.0,230.48105,-14.624841,375.0,375.0,5.378916331699917,1.0
5300,0.20356584,0.0,14.0,235.56726,-14.416719,371.42857142857144,371.42857142857144,5.765636716570173,1.0
5400,0.1704091,0.0,14.0,237.59511,-14.366801,358.3333333333333,358.3333333333333,6.100159605344136,1.0
5500,0.13305807,0.0,14.0,246.92766,-14.349365,375.0,375.0,4.556403500693185,1.0
5600,0.14895925,0.0,14.0,254.01993,-14.20601,366.07142857142856,366.07142857142856,5.624601091657366,1.0
5700,0.11825205,0.0,14.0,265.6089,-14.377431,375.0,375.0,5.166041374206543,1.0
5800,0.113770746,0.0,14.0,267.62283,-14.081687,373.2142857142857,373.2142857142857,5.22167774609157,1.0
5900,0.14151491,0.0,14.0,264.0565,-13.769999,364.2857142857143,364.2857142857143,5.525935717991421,1.0
6000,0.097347945,0.0,14.0,271.0211,-13.706515,375.0,375.0,5.251165350278218,1.0
6100,0.10269519,0.0,14.0,283.18478,-13.599757,355.35714285714283,355.35714285714283,6.322277648108346,1.0
6200,0.019806312,0.0,14.0,287.08624,-13.622362,369.64285714285717,369.64285714285717,5.6818722656794955,1.0
6300,0.0966748,0.0,14.0,296.34293,-13.469401,370.8333333333333,370.8333333333333,5.648304581642151,1.0
6400,0.034144018,0.0,14.0,295.85,-13.242836,373.2142857142857,373.2142857142857,5.381917204175677,1.0
6500,0.063662216,0.0,14.0,301.12552,-13.304751,353.57142857142856,353.57142857142856,4.292787381580898,1.0
6600,0.069306664,0.0,14.0,306.44406,-13.519822,347.9166666666667,347.9166666666667,5.024616638819377,1.0
6700,-0.022409525,0.0,14.0,308.9991,-12.851665,366.07142857142856,366.07142857142856,4.77861796106611,1.0
6800,0.012023424,0.0,14.0,311.70807,-12.793739,371.42857142857144,371.42857142857144,4.843307767595563,1.0
6900,0.046919234,0.0,14.0,305.54404,-12.891086,341.6666666666667,341.6666666666667,4.364507953325908,1.0
