Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
100,1.4190284,0.0,14.0,-0.05188343,0.04254723,164.58333333333334,164.58333333333334,0.0,1.0
200,1.4183251,0.0,14.0,-0.00082873396,0.07052429,142.85714285714286,142.85714285714286,0.0,1.0
300,1.2697438,0.0,14.0,7.0023327,3.0073538,75.0,75.0,12.5,1.0
400,1.1538936,0.0,14.0,12.2724905,1.0452224,-51.785714285714285,-51.785714285714285,15.0,1.0
500,1.0930296,0.0,14.0,12.053923,-0.3910203,114.28571428571429,114.28571428571429,15.0,1.0
600,1.069201,0.0,14.0,5.956402,-1.6716868,35.416666666666664,35.416666666666664,15.0,1.0
700,1.0481066,0.0,14.0,10.674309,-2.308243,150.0,150.0,15.0,1.0
800,0.99129224,0.0,14.0,16.151209,-3.3421113,262.5,262.5,15.0,1.0
900,1.0052251,0.0,14.0,22.764648,-4.336095,314.5833333333333,314.5833333333333,15.0,1.0
1000,0.96896535,0.0,14.0,21.536915,-5.700297,201.78571428571428,201.78571428571428,15.0,1.0
1100,0.9496533,0.0,14.0,23.834713,-6.16993,291.07142857142856,291.07142857142856,15.0,1.0
1200,0.8763676,0.0,14.0,30.78787,-7.541059,300.0,300.0,15.0,1.0
1300,0.86866826,0.0,14.0,30.884644,-7.965755,278.57142857142856,278.57142857142856,15.0,1.0
1400,0.8831207,0.0,14.0,40.2297,-9.113329,301.7857142857143,301.7857142857143,15.0,1.0
1500,0.85122114,0.0,14.0,46.58923,-9.685746,308.3333333333333,308.3333333333333,15.0,1.0
1600,0.8410913,0.0,14.0,45.765896,-9.936326,316.07142857142856,316.07142857142856,15.0,1.0
1700,0.80899644,0.0,14.0,55.01089,-10.703801,337.5,337.5,15.0,1.0
1800,0.7659177,0.0,14.0,53.817917,-11.148453,337.5,337.5,15.0,1.0
1900,0.7790326,0.0,14.0,65.00354,-11.879286,348.2142857142857,348.2142857142857,15.0,1.0
2000,0.7426894,0.0,14.0,67.88733,-12.353559,364.2857142857143,364.2857142857143,15.0,1.0
2100,0.71805036,0.0,14.0,77.963844,-12.917245,316.6666666666667,316.6666666666667,15.0,1.0
2200,0.7107839,0.0,14.0,81.670715,-13.275397,353.57142857142856,353.57142857142856,15.0,1.0
2300,0.67281675,0.0,14.0,85.43201,-13.445715,355.35714285714283,355.35714285714283,15.0,1.0
2400,0.682531,0.0,14.0,87.59439,-13.782299,347.9166666666667,347.9166666666667,15.0,1.0
2500,0.63735855,0.0,14.0,92.2712,-14.007736,353.57142857142856,353.57142857142856,15.0,1.0
2600,0.6217287,0.0,14.0,98.462425,-14.440848,362.5,362.5,15.0,1.0
2700,0.6027354,0.0,14.0,99.536964,-14.709595,360.4166666666667,360.4166666666667,15.0,1.0
2800,0.5641779,0.0,14.0,111.72997,-14.916414,375.0,375.0,15.0,1.0
2900,0.5398844,0.0,14.0,111.93505,-14.936498,342.85714285714283,342.85714285714283,15.0,1.0
3000,0.5332101,0.0,14.0,120.96287,-15.393878,366.6666666666667,366.6666666666667,15.0,1.0
3100,0.5306562,1.0,14.0,112.35634,-15.141673,-84.83106776646206,-84.83106776646206,15.0,1.0
3200,0.535889,1.0,14.0,110.850136,-15.194793,-175.17803083147322,-175.17803083147322,15.0,1.0
3300,0.5050646,1.0,14.0,122.914894,-15.459836,-152.01983769734701,-152.01983769734701,15.0,1.0
3400,0.5423873,1.0,14.0,115.68273,-15.715156,-174.283695765904,-174.283695765904,15.0,1.0
3500,0.52301466,1.0,14.0,126.22143,-16.003485,-191.96126883370536,-191.96126883370536,15.0,1.0
3600,0.42935234,1.0,14.0,134.00734,-15.758953,-167.4252700805664,-167.4252700805664,15.0,1.0
3700,0.483976,1.0,14.0,141.59882,-16.675877,-161.61291830880302,-161.61291830880302,15.0,1.0
3800,0.39621457,1.0,14.0,142.7714,-16.497395,-151.81753758021765,-151.81753758021765,15.0,1.0
3900,0.37645692,1.0,12.0,152.84273,-17.05388,-1.225827898297991,-1.225827898297991,13.0,1.0
4000,0.38971725,1.0,14.0,149.8928,-17.684488,-173.50957598005022,-173.50957598005022,15.0,1.0
4100,0.36722994,1.0,14.0,148.88234,-17.392012,-164.7444806780134,-164.7444806780134,15.0,1.0
4200,0.29348144,1.0,14.0,160.8149,-17.415874,-181.34974924723306,-181.34974924723306,15.0,1.0
4300,0.2263821,1.0,14.0,156.14732,-17.832464,-174.02201407296317,-174.02201407296317,15.0,1.0
4400,0.32863253,1.0,14.0,165.07999,-17.985016,-146.24447413853235,-146.24447413853235,15.0,1.0
4500,0.28197032,1.0,12.0,154.37352,-17.737335,4.682037353515625,4.682037353515625,13.0,1.0
4600,0.18408206,1.0,14.0,166.97818,-18.227812,-167.19893319266183,-167.19893319266183,15.0,1.0
4700,0.19587527,1.0,14.0,177.16092,-18.630495,-165.85724312918526,-165.85724312918526,14.976603780473981,1.0
4800,0.22110605,1.0,12.0,178.32121,-19.279057,4.459017072405134,4.459017072405134,12.928856032235283,1.0
4900,0.18834606,1.0,14.0,178.04031,-19.35996,-176.73448399135046,-176.73448399135046,15.0,1.0
5000,0.1849841,1.0,14.0,174.61008,-19.749546,-174.26150403703963,-174.26150403703963,14.988499368940081,1.0
5100,0.14574663,1.0,14.0,176.29517,-19.588419,-181.41146850585938,-181.41146850585938,15.0,1.0
5200,0.096043676,1.0,14.0,176.70676,-19.565521,-148.75642721993583,-148.75642721993583,14.98070662362235,1.0
5300,0.0044053863,1.0,14.0,187.09157,-19.639538,-191.63880266462053,-191.63880266462053,14.896520342145648,1.0
5400,0.036716018,1.0,14.0,189.083,-19.97895,-163.06378555297852,-163.06378555297852,14.661701679229736,1.0
5500,-0.017402662,1.0,14.0,190.97035,-19.718374,-184.9954376220703,-184.9954376220703,14.891806738717216,1.0
5600,-0.020767199,1.0,11.875,201.90521,-19.84648,110.98877143859863,110.98877143859863,12.696053981781006,1.0
5700,0.06434587,1.0,14.0,195.85463,-19.969007,-173.41311899820963,-173.41311899820963,14.849974155426025,1.0
5800,0.087554626,1.0,14.0,189.75627,-19.792738,-161.11736406598772,-161.11736406598772,14.99321447099958,1.0
