Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
25600,1.4432625,0.0,49.0,-19.22716,6.4785023,-64.87995147705078,-64.87995147705078,0.0,1.0
25700,1.4432625,0.0,49.0,-21.346085,6.1383133,-28.42241621017456,-28.42241621017456,0.0,1.0
25800,1.4432625,0.0,49.0,-37.676888,5.7533092,-106.83769989013672,-106.83769989013672,0.0,1.0
25900,1.4432625,0.0,49.0,-34.962456,5.717473,-79.36596488952637,-79.36596488952637,0.0,1.0
26000,1.4432625,0.0,49.0,-26.196074,5.8468027,-66.68314552307129,-66.68314552307129,0.0,1.0
26100,1.4432625,0.0,49.0,-28.401497,6.029521,-64.40437316894531,-64.40437316894531,0.0,1.0
26200,1.4432625,0.0,49.0,-24.408146,6.6411705,-64.25943040847778,-64.25943040847778,0.0,1.0
26300,1.4432625,0.0,49.0,-38.54174,5.8179636,-100.29233932495117,-100.29233932495117,0.0,1.0
26400,1.4432625,0.0,49.0,-35.976562,6.7110453,-93.19950866699219,-93.19950866699219,0.0,1.0
26500,1.4432625,0.0,49.0,-22.653172,6.5004883,-47.28938865661621,-47.28938865661621,0.0,1.0
26600,1.4431378,0.0,49.0,-31.476374,6.3490157,-75.81544876098633,-75.81544876098633,0.0,1.0
26700,1.4430028,0.0,49.0,-33.096546,5.21404,-80.23944473266602,-80.23944473266602,17.3419246673584,1.0
26800,1.4430028,0.0,49.0,-30.663357,5.4327774,-78.67185020446777,-78.67185020446777,15.12948989868164,1.0
26900,1.4430028,0.0,49.0,-41.105556,5.166948,-92.64830017089844,-92.64830017089844,16.204766750335693,1.0
27000,1.4430028,0.0,49.0,-36.75682,4.9949446,-88.71061706542969,-88.71061706542969,15.247237205505371,1.0
27100,1.4430028,0.0,49.0,-30.153748,5.4520054,-61.129154205322266,-61.129154205322266,17.268136978149414,1.0
27200,1.4430028,0.0,49.0,-37.58738,4.8535476,-91.13644409179688,-91.13644409179688,21.278236389160156,1.0
27300,1.4430028,0.0,49.0,-25.112957,5.4032702,-78.30733108520508,-78.30733108520508,16.50973129272461,1.0
