Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
25100,-0.56362706,1.0,49.0,49.45021,0.4450803,-7.777287006378174,-7.777287006378174,0.0,1.0
25200,-0.66365534,1.0,49.0,59.090607,0.19138262,32.64551913738251,32.64551913738251,0.0,1.0
25300,-0.503873,1.0,49.0,44.973057,0.12848401,-43.87570762634277,-43.87570762634277,0.0,1.0
25400,-0.77255267,1.0,49.0,35.949417,0.33399975,-79.8029670715332,-79.8029670715332,0.0,1.0
25500,-0.8818444,1.0,49.0,68.28812,0.14514522,60.68349266052246,60.68349266052246,0.0,1.0
25600,-0.6439008,1.0,49.0,52.246613,-0.007974947,7.473560333251953,7.473560333251953,0.0,1.0
25700,-0.64079964,1.0,49.0,44.37526,0.40155068,-80.12259674072266,-80.12259674072266,0.0,1.0
25800,-0.89582574,1.0,49.0,37.730785,0.4466446,-112.81044387817383,-112.81044387817383,0.0,1.0
25900,-0.71077967,1.0,49.0,53.502182,0.43080965,-28.309738159179688,-28.309738159179688,0.0,1.0
26000,-0.6726873,1.0,49.0,40.987923,0.1981755,-64.70546340942383,-64.70546340942383,0.0,1.0
26100,-0.6231389,1.0,49.0,36.419186,0.093223,-66.58907318115234,-66.58907318115234,0.0,1.0
26200,-1.0557697,1.0,49.0,65.59453,-0.059119556,33.8558292388916,33.8558292388916,4.6741862297058105,1.0
26300,-0.763006,1.0,49.0,41.46245,0.29363766,-74.30342483520508,-74.30342483520508,6.317004919052124,1.0
26400,-1.0036072,1.0,49.0,39.062958,0.29403728,-89.46626281738281,-89.46626281738281,6.2335991859436035,1.0
26500,-0.78045225,1.0,49.0,43.041313,0.2434915,-53.00778007507324,-53.00778007507324,7.771461009979248,1.0
26600,-0.7231481,1.0,49.0,59.073105,0.24582466,1.1263236999511719,1.1263236999511719,5.610333442687988,1.0
26700,-0.8679239,1.0,49.0,35.295315,0.1644119,-66.16303825378418,-66.16303825378418,5.958862543106079,1.0
26800,-0.8832615,1.0,49.0,61.55372,0.08750326,19.896042823791504,19.896042823791504,4.4073569774627686,1.0
26900,-0.846217,1.0,49.0,32.505936,0.17160586,-72.34149551391602,-72.34149551391602,5.311079740524292,1.0
27000,-0.8690804,1.0,49.0,63.91317,0.10916023,23.999009132385254,23.999009132385254,3.0762873888015747,1.0
27100,-0.99025315,1.0,49.0,55.11814,0.091849566,-19.86280059814453,-19.86280059814453,4.039339363574982,1.0
27200,-0.8855836,1.0,49.0,33.499107,0.30661398,-105.84931945800781,-105.84931945800781,9.16312313079834,1.0
27300,-0.9355039,1.0,49.0,47.40528,0.32668024,-48.55824947357178,-48.55824947357178,6.234491586685181,1.0
27400,-0.8638855,1.0,49.0,39.818905,0.48422968,-80.30755996704102,-80.30755996704102,10.878459453582764,1.0
27500,-0.7170134,1.0,49.0,60.70658,0.2928167,-7.749551773071289,-7.749551773071289,4.749818325042725,1.0
27600,-0.9299791,1.0,49.0,54.015186,0.1825825,-12.295661926269531,-12.295661926269531,5.618726015090942,1.0
27700,-1.0275173,1.0,49.0,52.850964,0.27341253,-12.695110321044922,-12.695110321044922,4.744885087013245,1.0
27800,-0.9507346,1.0,49.0,66.67464,0.1868316,51.670074462890625,51.670074462890625,3.178487539291382,1.0
27900,-1.2258468,1.0,49.0,51.77545,0.10674717,-20.65050506591797,-20.65050506591797,5.9927144050598145,1.0
28000,-1.0396626,1.0,49.0,46.852364,0.28805125,-27.109189987182617,-27.109189987182617,7.225536346435547,1.0
28100,-1.1152542,1.0,49.0,72.69487,0.014022887,71.21527862548828,71.21527862548828,4.45708692073822,1.0
28200,-1.1353979,1.0,49.0,36.36086,0.39138806,-45.85227298736572,-45.85227298736572,6.796036958694458,1.0
28300,-0.91944504,1.0,49.0,48.739384,0.24428764,6.946445465087891,6.946445465087891,4.525611639022827,1.0
28400,-1.055032,1.0,49.0,58.008965,0.12988174,11.423030853271484,11.423030853271484,3.9560176134109497,1.0
28500,-1.0715504,1.0,49.0,30.435299,0.33794796,-88.16493225097656,-88.16493225097656,9.120405912399292,1.0
28600,-1.1186539,1.0,49.0,49.7733,0.23956907,-10.22613525390625,-10.22613525390625,4.248263239860535,1.0
28700,-1.3882184,1.0,49.0,47.851955,0.41699457,-14.022212982177734,-14.022212982177734,4.4965702295303345,1.0
28800,-1.1870291,1.0,49.0,26.176682,0.38859707,-79.06483459472656,-79.06483459472656,5.604143381118774,1.0
28900,-0.9274785,1.0,49.0,56.255646,0.06781148,9.850269317626953,9.850269317626953,3.5548267364501953,1.0
29000,-1.1317495,1.0,49.0,57.660904,0.09736548,16.479883193969727,16.479883193969727,5.595987915992737,1.0
29100,-1.2638551,1.0,49.0,66.1915,0.2666438,24.623653888702393,24.623653888702393,6.776870369911194,1.0
29200,-1.2874703,1.0,49.0,27.256285,0.3143953,-75.97237777709961,-75.97237777709961,6.239650011062622,1.0
29300,-1.2390958,1.0,49.0,37.163193,0.4625634,-63.29428482055664,-63.29428482055664,6.783579587936401,1.0
29400,-1.3542414,1.0,49.0,25.298695,0.34273693,-67.71151733398438,-67.71151733398438,7.504110813140869,1.0
29500,-1.0996877,1.0,49.0,50.81983,0.54506755,-7.50531005859375,-7.50531005859375,5.302347421646118,1.0
29600,-1.4002614,1.0,49.0,30.675665,0.30014074,-76.85403442382812,-76.85403442382812,5.716242671012878,1.0
29700,-1.2981441,1.0,49.0,26.031929,0.3299709,-79.77390670776367,-79.77390670776367,6.927095413208008,1.0
29800,-1.3181529,1.0,49.0,52.980907,0.14026707,6.872074127197266,6.872074127197266,5.915177941322327,1.0
29900,-1.3275448,1.0,49.0,56.46659,0.27288222,0.9309730529785156,0.9309730529785156,7.470508337020874,1.0
30000,-1.2806052,1.0,49.0,55.469284,0.09253886,12.757078170776367,12.757078170776367,4.627332925796509,1.0
30100,-1.2220026,1.0,49.0,23.12984,0.32386917,-87.84133529663086,-87.84133529663086,5.725419759750366,1.0
30200,-1.2008178,1.0,49.0,44.465946,0.35321802,-15.862190246582031,-15.862190246582031,5.888342618942261,1.0
30300,-1.019366,1.0,49.0,29.351704,0.31491128,-65.64061737060547,-65.64061737060547,5.276510715484619,1.0
30400,-1.2704024,1.0,49.0,22.636936,0.38336143,-68.3817024230957,-68.3817024230957,7.150822877883911,1.0
30500,-1.506596,1.0,49.0,77.111404,0.16410193,58.37593078613281,58.37593078613281,3.233717679977417,1.0
30600,-1.4359679,1.0,49.0,75.51189,0.23380181,51.17908763885498,51.17908763885498,3.6031734943389893,1.0
30700,-1.3233528,1.0,49.0,75.97793,0.06846361,46.8733024597168,46.8733024597168,3.141922950744629,1.0
30800,-1.1567025,1.0,49.0,50.638546,0.4618037,-18.26654052734375,-18.26654052734375,13.344615459442139,1.0
30900,-1.3238897,1.0,49.0,64.162125,0.35338607,24.854005336761475,24.854005336761475,5.137390851974487,1.0
31000,-1.68198,1.0,49.0,49.804317,0.25073963,-11.55255126953125,-11.55255126953125,4.149470925331116,1.0
31100,-1.1635537,1.0,49.0,65.33084,0.1992946,23.71454405784607,23.71454405784607,3.2550636529922485,1.0
31200,-1.4492984,1.0,49.0,56.8479,0.4499604,-29.513068675994873,-29.513068675994873,4.663023114204407,1.0
31300,-1.3622409,1.0,49.0,49.652985,0.18640685,-14.756813049316406,-14.756813049316406,4.892654180526733,1.0
31400,-1.1814816,1.0,49.0,48.65548,0.34090447,-21.949153900146484,-21.949153900146484,7.671261429786682,1.0
31500,-1.0887785,1.0,49.0,39.249573,0.63526857,-36.597604751586914,-36.597604751586914,5.343260765075684,1.0
31600,-1.3528007,1.0,49.0,18.722885,0.4301619,-76.03748321533203,-76.03748321533203,5.97750997543335,1.0
31700,-1.5942111,1.0,49.0,55.775314,0.31156334,13.36163330078125,13.36163330078125,3.8495640754699707,1.0
