Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
100,1.4164321,0.0,19.0,-0.0307348,-0.044717085,2093.75,2093.75,0.0,1.0
200,1.418488,0.0,19.0,-0.02268571,-0.027824268,1875.0,1875.0,0.0,1.0
300,1.3653842,0.0,19.0,1.2048658,1.0270265,2450.0,2450.0,12.0,1.0
400,1.2502573,0.0,19.0,32.680798,5.2592735,-2275.0,-2275.0,20.0,1.0
500,1.1764578,0.0,19.0,73.174355,-4.7660418,-5500.0,-5500.0,20.0,1.0
600,1.0710821,0.0,19.0,43.398785,-8.051602,-4225.0,-4225.0,20.0,1.0
700,1.1495798,0.0,19.0,53.6534,-12.551316,-5925.0,-5925.0,20.0,1.0
800,1.0379835,0.0,19.0,19.891022,-7.581004,-3650.0,-3650.0,20.0,1.0
900,0.8034291,0.0,19.0,10.242041,-6.754196,-450.0,-450.0,20.0,1.0
1000,0.8823119,0.0,19.0,23.581345,-6.8639603,550.0,550.0,20.0,1.0
1100,0.9145017,0.0,19.0,26.440525,-8.323876,50.0,50.0,20.0,1.0
1200,0.8941961,0.0,19.0,26.899166,-11.546848,-1100.0,-1100.0,20.0,1.0
1300,0.81932366,0.0,19.0,36.309265,-10.229265,-75.0,-75.0,20.0,1.0
1400,0.7748234,0.0,19.0,46.788063,-12.526185,2725.0,2725.0,20.0,1.0
1500,0.7213029,0.0,19.0,87.173584,-16.957531,2575.0,2575.0,20.0,1.0
1600,0.6269639,0.0,19.0,170.06511,-29.771915,-850.0,-850.0,20.0,1.0
1700,0.60989046,0.0,19.0,112.2394,-25.389164,1525.0,1525.0,20.0,1.0
1800,0.56574595,0.0,19.0,114.860306,-25.560638,3000.0,3000.0,20.0,1.0
1900,0.5575497,0.0,19.0,156.25,-29.01418,2475.0,2475.0,20.0,1.0
2000,0.56466556,0.0,19.0,170.91263,-30.291492,3325.0,3325.0,20.0,1.0
2100,0.59287,0.0,19.0,189.84581,-31.946888,4375.0,4375.0,19.972663116455077,1.0
2200,0.53938603,0.0,19.0,199.94351,-33.45106,4650.0,4650.0,20.0,1.0
2300,0.5590839,0.0,19.0,200.79558,-33.657097,4000.0,4000.0,20.0,1.0
2400,0.47786728,0.0,19.0,196.09767,-34.80255,3670.0,3670.0,20.0,1.0
2500,0.46118563,0.0,19.0,241.93587,-39.806816,4250.0,4250.0,20.0,1.0
2600,0.49421367,0.0,19.0,236.16472,-40.20918,4495.0,4495.0,19.08515396118164,1.0
2700,0.48165113,0.0,19.0,263.6076,-42.06446,3925.0,3925.0,18.01264419555664,1.0
2800,0.46465072,0.0,19.0,276.88525,-44.384804,4250.0,4250.0,17.112186241149903,1.0
2900,0.44064727,0.0,19.0,327.21924,-46.911602,4300.0,4300.0,14.509378242492676,1.0
3000,0.40777123,0.0,19.0,334.91617,-48.62261,4495.0,4495.0,13.479064750671387,1.0
3100,0.41444477,0.0,19.0,328.28632,-47.385757,4525.0,4525.0,12.738090515136719,1.0
3200,0.38130254,0.0,19.0,328.4925,-48.47008,4025.0,4025.0,11.350193786621094,1.0
3300,0.32699016,0.0,19.0,355.84515,-50.00353,3850.0,3850.0,13.498445320129395,1.0
3400,0.3027276,0.0,19.0,380.69296,-53.54488,4625.0,4625.0,10.481686210632324,1.0
3500,0.31064793,0.0,19.0,408.0401,-55.778004,3875.0,3875.0,8.037704467773438,1.0
3600,0.30899164,0.0,19.0,394.5358,-53.985638,3225.0,3225.0,7.846812629699707,1.0
3700,0.26353133,1.0,19.0,436.546,-57.673096,3848.352087402344,3848.352087402344,7.072951412200927,1.0
3800,0.27653134,1.0,19.0,436.68378,-57.636223,-1668.633447265625,-1668.633447265625,5.842043495178222,1.0
