Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
15600,-0.6469759,1.0,14.0,2145.3274,-183.34512,-1774.9306640625,-1774.9306640625,0.0,1.0
15700,-0.90898836,1.0,12.428571428571429,3924.9395,-190.14363,-641.2479596819196,-641.2479596819196,0.0,1.0
15800,-0.2627334,1.0,12.142857142857142,2511.0522,-243.46384,-1781.384730747768,-1781.384730747768,1.8580266407557897,1.0
15900,-0.5754025,1.0,10.3,3196.647,-171.76958,1312.0812255859375,1312.0812255859375,9.413074970245361,1.0
16000,-0.4466816,1.0,14.0,5670.4688,-169.5605,-1265.7339274088542,-1265.7339274088542,14.331050078074137,1.0
16100,-0.14874655,1.0,14.0,2112.691,-230.6993,-1780.326459612165,-1780.326459612165,14.178152901785714,1.0
16200,-0.49729177,1.0,14.0,2129.0554,-222.47371,-1840.8007114955358,-1840.8007114955358,13.540111677987236,1.0
16300,-0.63721925,1.0,12.142857142857142,3530.8972,-187.7698,-661.1605747767857,-661.1605747767857,11.786162103925433,1.0
16400,-0.5124021,1.0,13.857142857142858,3977.193,-183.80717,-835.6801060267857,-835.6801060267857,12.725050926208496,1.0
16500,-0.07015005,1.0,11.0,2987.6414,-239.68765,-301.3584442138672,-301.3584442138672,11.099439978599548,1.0
16600,-0.1445471,1.0,14.0,3349.0325,-212.8911,-1719.738978794643,-1719.738978794643,12.55718299320766,1.0
16700,-0.21794663,1.0,10.333333333333334,3677.1753,-188.80774,396.3269992404514,396.3269992404514,9.468807591332329,1.0
16800,-0.1543083,1.0,11.375,3244.7632,-193.9766,-118.701904296875,-118.701904296875,10.664871454238892,1.0
16900,-0.4892263,1.0,9.88888888888889,3112.5962,-198.62318,276.4020046657986,276.4020046657986,10.292021857367622,1.0
17000,-0.43037033,1.0,12.142857142857142,1555.761,-220.2891,-356.7818080357143,-356.7818080357143,11.685508183070592,1.0
17100,0.007467112,1.0,11.222222222222221,4484.74,-178.1301,-251.39194064670139,-251.39194064670139,10.952117178175184,1.0
17200,0.27411756,1.0,14.0,3643.7893,-212.32599,-1671.6248982747395,-1671.6248982747395,14.495126883188883,1.0
17300,-0.4402274,1.0,14.0,3017.8784,-189.09612,-1676.575404575893,-1676.575404575893,12.259533337184362,1.0
17400,-0.3961941,1.0,13.714285714285714,2940.4944,-190.1504,-898.1260463169643,-898.1260463169643,12.960967200142997,1.0
17500,-0.43177322,1.0,13.571428571428571,3667.2603,-192.36215,-1472.8317347935267,-1472.8317347935267,12.889662742614746,1.0
17600,-0.37622595,1.0,10.333333333333334,3852.128,-166.62614,1110.0573052300347,1110.0573052300347,9.15974309709337,1.0
17700,-0.3206824,1.0,11.625,4032.8445,-177.69937,-12.553482055664062,-12.553482055664062,10.523666977882385,1.0
17800,-0.7031639,1.0,11.5,2676.394,-199.19627,-479.3283233642578,-479.3283233642578,10.23792439699173,1.0
17900,-0.45401725,1.0,12.571428571428571,3272.077,-201.49553,-918.5963134765625,-918.5963134765625,10.835426194327217,1.0
18000,-0.5010135,1.0,12.428571428571429,2498.5837,-206.69444,-707.2478986467634,-707.2478986467634,11.641922678266253,1.0
18100,-0.50558627,1.0,12.625,1616.6101,-215.38399,-901.1739959716797,-901.1739959716797,12.003767013549805,1.0
18200,-0.73610556,1.0,13.285714285714286,3126.4277,-185.90915,-874.4766671316964,-874.4766671316964,11.477673871176583,1.0
18300,-0.33119324,1.0,12.142857142857142,3931.4998,-178.05882,97.63188825334821,97.63188825334821,11.218797138759069,1.0
18400,-0.18903686,1.0,11.0,3515.4888,-202.55089,-203.71877712673611,-203.71877712673611,10.687381002638075,1.0
18500,-0.43964776,1.0,14.0,1924.1123,-248.21434,-1836.8040364583333,-1836.8040364583333,13.24939759572347,1.0
18600,-0.63470227,1.0,12.5,2761.457,-221.64359,-796.4361267089844,-796.4361267089844,10.12846064567566,1.0
18700,-0.62321395,1.0,9.666666666666666,3163.1416,-187.80338,462.5626627604167,462.5626627604167,8.237411393059624,1.0
18800,-0.72754544,1.0,14.0,2319.7773,-210.7748,-1655.9929896763392,-1655.9929896763392,12.411433356148857,1.0
18900,-0.877808,1.0,14.0,2295.8062,-225.75958,-1538.5825602213542,-1538.5825602213542,12.769721031188965,1.0
19000,-0.8158572,1.0,12.25,2026.3864,-215.03448,-112.37525939941406,-112.37525939941406,9.692696690559387,1.0
19100,-0.805801,1.0,12.285714285714286,2296.6096,-211.92366,-1580.2811279296875,-1580.2811279296875,10.792091778346471,1.0
19200,-0.3807861,1.0,14.0,3251.1472,-229.64326,-831.2179652622768,-831.2179652622768,11.978962898254395,1.0
19300,-0.54279643,1.0,13.428571428571429,3121.4827,-190.64632,-634.8790980747768,-634.8790980747768,11.392965521131243,1.0
19400,-0.7767456,1.0,13.0,1537.3953,-244.56999,-1784.5082833426338,-1784.5082833426338,12.58895138331822,1.0
19500,-0.6919235,1.0,14.0,3691.4006,-193.83656,-811.8789934430804,-811.8789934430804,9.96607324055263,1.0
19600,-0.2333389,1.0,11.875,3922.1152,-197.0594,9.256088256835938,9.256088256835938,9.664364397525787,1.0
19700,-0.26015896,1.0,12.428571428571429,2883.0637,-212.94473,47.227347237723215,47.227347237723215,12.028661387307304,1.0
19800,-0.75300425,1.0,13.428571428571429,3244.8162,-201.72781,-913.3411167689732,-913.3411167689732,11.932584490094866,1.0
19900,-0.83527076,1.0,13.0,3453.6506,-192.65201,-621.4538922991071,-621.4538922991071,9.813453129359655,1.0
20000,-0.74265987,1.0,14.0,1759.2963,-261.64352,-1715.912318638393,-1715.912318638393,10.435291767120361,1.0
