Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
100,1.421016,0.0,9.0,0.116612725,0.088862404,-1138.888888888889,-1138.888888888889,0.0,1.0
200,1.4190569,0.0,9.0,0.14888087,0.07041791,-1325.0,-1325.0,0.0,1.0
300,1.4145267,0.0,9.0,0.2546867,0.19785854,-1212.5,-1212.5,8.0,1.0
400,1.3991225,0.0,9.0,0.6727515,0.5675989,-1300.0,-1300.0,10.0,1.0
500,1.3741372,0.0,9.0,1.3434341,1.4019369,-1025.0,-1025.0,10.0,1.0
600,1.327324,0.0,9.0,2.0760086,2.841333,-1427.5,-1427.5,10.0,1.0
700,1.2496564,0.0,9.0,1.721926,4.0519524,-975.0,-975.0,10.0,1.0
800,1.0873257,0.0,9.0,0.055546355,4.433043,-1100.0,-1100.0,10.0,1.0
900,1.0650002,0.0,9.0,-2.7001622,5.0801573,-2737.5,-2737.5,10.0,1.0
1000,0.88860613,0.0,9.0,-8.680517,7.5457625,-3737.5,-3737.5,10.0,1.0
1100,0.7569166,0.0,9.0,-23.083155,12.476221,-3850.0,-3850.0,10.0,1.0
1200,0.63822514,0.0,9.0,-45.429863,17.515326,-2475.0,-2475.0,9.837449169158935,1.0
1300,0.31412983,0.0,9.0,-102.2827,25.099314,-4137.5,-4137.5,9.867771530151368,1.0
1400,0.17775251,0.0,9.0,-161.8291,22.582676,-4312.5,-4312.5,9.944673156738281,1.0
1500,0.2615494,0.0,9.0,-184.81595,9.99954,-2900.0,-2900.0,9.349322175979614,1.0
1600,0.2490694,0.0,9.0,-200.02774,1.766506,-2362.5,-2362.5,8.322878789901733,1.0
1700,0.13293281,0.0,9.0,-180.65651,-0.718979,-2787.5,-2787.5,8.871682453155518,1.0
1800,0.19421114,0.0,9.0,-176.86035,-0.61877173,-2275.0,-2275.0,7.338214111328125,1.0
1900,0.22486782,0.0,9.0,-190.34874,-0.42548984,-2862.5,-2862.5,6.656776309013367,1.0
2000,0.17368546,0.0,9.0,-195.29993,0.050640296,-1975.0,-1975.0,6.61266131401062,1.0
