Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Is Training
29900,798.98694,-23.885489,-4072.5943298339844,-4072.5943298339844,0.0,-0.38839066,2.0,11.5,1.0
30000,815.2697,-23.87474,-2549.2139892578125,-2549.2139892578125,0.0,-0.30805236,2.0,10.625,1.0
30100,767.158,-25.71816,-5523.022670200893,-5523.022670200893,8.171593121119908,-0.287008,2.0,13.285714285714286,1.0
30200,187.44624,-12.902798,-5638.320617675781,-5638.320617675781,10.004419445991516,-0.17149536,2.0,12.125,1.0
30300,71.07156,-37.080845,-3818.562255859375,-3818.562255859375,9.985109541151258,-0.17012325,2.0,10.11111111111111,1.0
30400,53.76013,-28.171898,-3785.8731689453125,-3785.8731689453125,9.751250505447388,-0.3050256,2.0,10.875,1.0
30500,-81.721954,-41.31482,-5628.303649902344,-5628.303649902344,11.648952722549438,-0.46031576,2.0,12.125,1.0
30600,-53.294224,-33.95822,-1922.5974663628472,-1922.5974663628472,8.987212075127495,-0.54428804,2.0,9.555555555555555,1.0
30700,369.01355,-22.545572,-1680.5862926136363,-1680.5862926136363,8.29668071053245,-1.1141574,2.0,8.818181818181818,1.0
30800,-165.95665,-37.259262,-2506.3103841145835,-2506.3103841145835,8.420071442921957,-1.1293826,2.0,9.333333333333334,1.0
30900,181.48013,-26.736975,-2308.627197265625,-2308.627197265625,9.045479440689087,-0.9544907,2.0,9.1,1.0
31000,211.49959,-31.02443,-3167.1010986328124,-3167.1010986328124,9.503647613525391,-1.0020318,2.0,10.1,1.0
31100,-69.79059,-32.18317,-4721.804338727678,-4721.804338727678,11.726374762398857,-0.69036037,2.0,12.285714285714286,1.0
31200,105.08175,-51.742535,-2156.50126953125,-2156.50126953125,8.948445796966553,-0.87265545,2.0,8.9,1.0
31300,-71.08441,-40.26474,-939.5753851996528,-939.5753851996528,9.649295753902859,-0.64274013,2.0,9.555555555555555,1.0
31400,-152.59686,-40.72999,-2999.245062934028,-2999.245062934028,8.719957192738852,-0.70225257,2.0,11.0,1.0
31500,296.64117,-43.474846,-2552.8166748046874,-2552.8166748046874,8.59532527923584,-0.5053718,2.0,9.0,1.0
31600,20.934687,-38.399868,-684.9509765625,-684.9509765625,7.4869132995605465,-1.017553,2.0,8.4,1.0
31700,573.8218,-32.897896,-1184.5273193359376,-1184.5273193359376,8.146697759628296,-1.66472,2.0,8.8,1.0
31800,769.10126,-27.573124,15.52294921875,15.52294921875,6.838847050300012,-1.6097734,2.0,7.538461538461538,1.0
31900,278.09924,-32.707935,-4304.5440673828125,-4304.5440673828125,10.063651144504547,-1.2892872,2.0,11.375,1.0
32000,22.485352,-35.91644,-4378.165954589844,-4378.165954589844,9.566307753324509,-1.1759882,2.0,11.125,1.0
32100,201.36852,-29.657393,-3568.6919555664062,-3568.6919555664062,9.299925804138184,-1.6119688,2.0,11.875,1.0
32200,549.18317,-30.922886,-3615.044708251953,-3615.044708251953,9.00621622800827,-2.0802429,2.0,11.25,1.0
32300,-293.87378,-35.248417,-3615.827117919922,-3615.827117919922,7.946932792663574,-1.9446462,2.0,10.625,1.0
32400,-329.19464,-58.67063,-1948.461669921875,-1948.461669921875,7.7015625780278985,-2.145131,2.0,8.090909090909092,1.0
32500,478.14096,-37.905533,627.0963745117188,627.0963745117188,6.361514151096344,-2.0106988,2.0,8.0,1.0
32600,709.88135,-31.305254,-486.1534534801136,-486.1534534801136,6.142594250765714,-1.7729765,2.0,7.2727272727272725,1.0
32700,524.7585,-33.323452,-3185.8521484375,-3185.8521484375,7.668976449966431,-1.6939517,2.0,10.2,1.0
32800,292.5337,-39.77748,-1323.1500108506943,-1323.1500108506943,7.5204010009765625,-1.8644137,2.0,8.777777777777779,1.0
32900,54.68992,-40.908962,-1550.580411044034,-1550.580411044034,7.127732363614169,-1.2511106,2.0,8.545454545454545,1.0
33000,677.60016,-35.12551,1031.8231670673076,1031.8231670673076,4.759942311507005,-1.9563687,2.0,6.3076923076923075,1.0
33100,661.6932,-40.368767,-3899.199462890625,-3899.199462890625,8.180019166734484,-1.6893706,2.0,10.555555555555555,1.0
33200,702.7351,-35.204575,-2265.3830837673613,-2265.3830837673613,7.6871227688259545,-1.5227139,2.0,10.11111111111111,1.0
33300,18.269922,-49.39913,-1153.210546875,-1153.210546875,7.109515047073364,-1.4304092,2.0,9.2,1.0
33400,475.00876,-41.66602,-127.43552468039773,-127.43552468039773,6.03866923939098,-1.5455443,2.0,7.545454545454546,1.0
33500,461.68976,-51.2584,-2298.2953125,-2298.2953125,6.545059728622436,-1.5377351,2.0,9.1,1.0
33600,585.32043,-44.312172,-604.3560546875,-604.3560546875,6.336135959625244,-1.7184352,2.0,9.4,1.0
33700,913.6455,-51.06784,-1832.692578125,-1832.692578125,6.797143793106079,-1.7867485,2.0,8.9,1.0
33800,153.93484,-50.605766,-2645.7052490234373,-2645.7052490234373,6.511493730545044,-1.6191537,2.0,9.1,1.0
33900,902.04297,-39.62452,176.725341796875,176.725341796875,5.790393482555043,-1.5707242,2.0,8.363636363636363,1.0
34000,1564.6953,-42.88058,-3985.174072265625,-3985.174072265625,7.552930951118469,-1.468312,2.0,10.875,1.0
34100,418.31702,-46.542065,-985.4104225852273,-985.4104225852273,6.101025386290117,-1.6149571,2.0,8.181818181818182,1.0
34200,579.62195,-48.214653,-300.3219482421875,-300.3219482421875,6.033042669296265,-1.53189,2.0,8.7,1.0
34300,36.799297,-54.990395,-1844.8979248046876,-1844.8979248046876,6.485920739173889,-1.1156474,2.0,9.8,1.0
34400,828.8991,-53.26459,375.96714274088544,375.96714274088544,5.434014042218526,-1.4973496,2.0,7.166666666666667,1.0
34500,362.58484,-49.804764,-4348.111572265625,-4348.111572265625,7.514224946498871,-1.3084778,2.0,10.875,1.0
34600,839.79236,-50.821175,-777.045703125,-777.045703125,6.825359249114991,-1.3371073,2.0,9.4,1.0
34700,486.28284,-50.38884,-1806.801730685764,-1806.801730685764,7.753432379828559,-1.1571438,2.0,10.555555555555555,1.0
34800,832.4173,-46.0352,-1370.4747721354167,-1370.4747721354167,6.243893093532986,-1.2339597,2.0,9.777777777777779,1.0
34900,1316.3516,-50.0915,390.11502779447113,390.11502779447113,4.73056672169612,-1.3469874,2.0,6.384615384615385,1.0
35000,1252.6373,-45.893326,-449.2300211588542,-449.2300211588542,6.147942304611206,-1.5084487,2.0,7.416666666666667,1.0
35100,570.2591,-50.41957,207.45308430989584,207.45308430989584,5.120109597841899,-1.7081575,2.0,7.0,1.0
35200,917.07837,-53.38848,124.29202974759616,124.29202974759616,4.6527407719538765,-1.0870588,2.0,6.923076923076923,1.0
35300,1331.8097,-44.38949,225.06873668323863,225.06873668323863,5.922058495608243,-1.3436054,2.0,9.0,1.0
35400,-193.03935,-58.21968,558.0184215198864,558.0184215198864,4.428798415444114,-1.1096532,2.0,7.181818181818182,1.0
